property_id,listing_status,listing_type,listing_date,building___society,area___locality,city,pincode,property_type,bedrooms__bhk,bathrooms,area__sq__ft,area_type,floor_number,total_floors,furnishing,facing_direction,parking__cars,property_age__yrs,amenities,asking_price__â_¹,monthly_rent__â_¹,security_deposit__â_¹,maint____month__â_¹,price_negotiable,commission,owner_name,owner_phone
SALE-BUNG-116,Available,Sale,2024-11-14,Rama Greens,Golden Nest,Mira Bhayandar,401107,Bungalow,5.0,6,2462,Built-up,0,2,Semi-Furnished,West,2,4,integrate collaborative vortals,49300000.0,,,0,0,1,Manya Deep,911665988013
SALE-BUNG-117,Available,Sale,2024-05-08,Grover Greens,Beverly Park,Mira Bhayandar,401101,Bungalow,4.0,6,2075,Built-up,0,2,Fully Furnished,North-East,0,15,matrix intuitive communities,29700000.0,,,0,0,2,Oni Deep,917229589787
SALE-BUNG-118,Available,Sale,2024-02-15,Prabhu Towers,Bhayandar West,Mira Bhayandar,401101,Bungalow,5.0,6,2631,Carpet,0,2,Unfurnished,South,1,2,enable integrated methodologies,35700000.0,,,0,1,2,Rehaan Mody,915923287502
RENT-OFFI-119,Available,Rent,2024-12-26,Kibe Heights,Golden Nest,Mira Bhayandar,401107,Office Space,,0,1317,Carpet,19,2,Semi-Furnished,West,1,24,enable ubiquitous schemas,,145000.0,725000.0,0,0,2,Dominic Sawhney,910832798068
SALE-APAR-120,Available,Sale,2023-08-29,Bhardwaj Heights,Naya Nagar,Mira Bhayandar,401105,Apartment,1.0,1,470,Built-up,11,7,Fully Furnished,West,0,6,extend real-time communities,6700000.0,,,1187,1,1,Balendra Thaman,913266510264
SALE-APAR-121,Available,Sale,2023-09-14,Som Heights,Shivar Garden,Mira Bhayandar,401107,Apartment,2.0,3,817,Carpet,1,16,Fully Furnished,South-West,0,20,aggregate mission-critical applications,9300000.0,,,3050,0,1,Naksh Bedi,919484290971
SALE-BUNG-122,Available,Sale,2023-10-27,Yohannan Greens,Beverly Park,Mira Bhayandar,401105,Bungalow,3.0,5,2299,Carpet,0,2,Semi-Furnished,South,0,5,evolve end-to-end partnerships,48600000.0,,,0,1,2,Logan Kadakia,917318812062
SALE-BUNG-123,Available,Sale,2024-05-19,Bava Greens,Naya Nagar,Mira Bhayandar,401101,Bungalow,3.0,5,3096,Built-up,0,2,Fully Furnished,North,0,15,benchmark customized initiatives,49200000.0,,,0,1,1,Omkaar Mohanty,9313483319
RENT-SHOP-124,Available,Rent,2023-12-06,Kanda Greens,Shanti Nagar,Mira Bhayandar,401107,Shop,,0,980,Carpet,3,2,Unfurnished,South-West,2,8,streamline B2B e-services,,78000.0,390000.0,0,0,1,Bachittar Borah,9527423558
SALE-OFFI-125,Available,Sale,2024-05-15,Kunda Plaza,Golden Nest,Mira Bhayandar,401101,Office Space,,0,2276,Built-up,20,2,Semi-Furnished,East,0,19,generate cross-platform users,29600000.0,,,0,1,1,Rayaan Sarkar,6461471716
SALE-BUNG-126,Available,Sale,2025-01-24,Ghose Heights,Mira Road East,Mira Bhayandar,401107,Bungalow,4.0,5,2978,Built-up,0,2,Fully Furnished,North-East,1,9,re-contextualize real-time channels,40800000.0,,,0,0,2,Oliver Sura,59473005
RENT-SHOP-127,Available,Rent,2024-06-15,Sagar Towers,Naya Nagar,Mira Bhayandar,401101,Shop,,0,2234,Carpet,11,2,Unfurnished,North-East,1,2,productize transparent methodologies,,104000.0,208000.0,0,1,1,Edhitha Bakshi,8924072893
SALE-OFFI-128,Available,Sale,2025-05-27,Chauhan Heights,Golden Nest,Mira Bhayandar,401107,Office Space,,1,1027,Carpet,15,2,Semi-Furnished,South,2,9,deliver compelling functionalities,14600000.0,,,0,0,1,Devansh Dhar,916979552265
SALE-APAR-129,Available,Sale,2024-10-29,Datta Greens,Shivar Garden,Mira Bhayandar,401101,Apartment,3.0,3,1363,Carpet,12,27,Unfurnished,South-West,2,18,streamline distributed channels,25400000.0,,,3939,0,2,Kamala Soni,5075942433
RENT-APAR-130,Available,Rent,2023-10-07,Keer Park,Naya Nagar,Mira Bhayandar,401101,Apartment,3.0,4,1197,Carpet,8,6,Unfurnished,North,0,18,repurpose world-class mindshare,,46000.0,92000.0,4708,1,2,Pahal Kashyap,919992437523
SALE-SHOP-131,Available,Sale,2023-09-27,Pillay Greens,Beverly Park,Mira Bhayandar,401105,Shop,,1,2425,Built-up,19,2,Unfurnished,South-West,0,10,harness open-source relationships,7000000.0,,,0,1,2,Amruta Sant,919290768000
RENT-OFFI-132,Available,Rent,2024-06-17,Basak Complex,Bhayandar East,Mira Bhayandar,401107,Office Space,,0,1204,Built-up,13,2,Unfurnished,South-West,2,20,incubate robust e-services,,181000.0,905000.0,0,1,1,Zaitra Rajan,7746234874
SALE-APAR-133,Available,Sale,2025-01-26,Raj Heights,Shivar Garden,Mira Bhayandar,401107,Apartment,1.0,2,498,Carpet,13,24,Semi-Furnished,North-East,0,25,incubate world-class architectures,7400000.0,,,1910,0,2,Fariq Dhillon,7572646838
SALE-BUNG-134,Available,Sale,2024-12-14,Nadkarni Towers,Bhayandar West,Mira Bhayandar,401107,Bungalow,3.0,5,2491,Built-up,0,2,Unfurnished,West,0,10,aggregate back-end solutions,44500000.0,,,0,1,2,Ranbir Anand,9584596798
RENT-SHOP-135,Available,Rent,2025-02-21,Sarna Plaza,Shanti Nagar,Mira Bhayandar,401105,Shop,,1,332,Built-up,1,2,Unfurnished,South-West,0,24,monetize efficient deliverables,,200000.0,1000000.0,0,0,2,Arjun Narain,914933831621
SALE-OFFI-136,Available,Sale,2023-11-15,Badami Greens,Bhayandar West,Mira Bhayandar,401101,Office Space,,1,2233,Carpet,15,2,Semi-Furnished,North-East,0,20,whiteboard efficient vortals,7200000.0,,,0,0,1,Advay Sahota,915529626081
RENT-APAR-137,Available,Rent,2025-04-14,Khalsa Park,Beverly Park,Mira Bhayandar,401101,Apartment,3.0,4,1379,Carpet,24,13,Semi-Furnished,South-West,1,24,incubate best-of-breed portals,,63000.0,189000.0,3623,1,2,Tanish Pai,915514437221
SALE-BUNG-138,Available,Sale,2025-03-18,Nadkarni Gardens,Shivar Garden,Mira Bhayandar,401105,Bungalow,4.0,6,1808,Built-up,0,2,Fully Furnished,West,0,9,strategize vertical info-mediaries,38100000.0,,,0,1,2,Chaitaly Varty,2672789130
SALE-APAR-139,Available,Sale,2025-04-28,Gill Gardens,Golden Nest,Mira Bhayandar,401101,Apartment,3.0,4,1265,Carpet,24,11,Fully Furnished,East,0,24,re-contextualize impactful content,19500000.0,,,4989,1,2,Champak Dhar,7534330758
RENT-SHOP-140,Available,Rent,2023-09-10,Sen Complex,Bhayandar East,Mira Bhayandar,401105,Shop,,0,1152,Built-up,20,2,Unfurnished,North-East,2,1,cultivate scalable metrics,,176000.0,880000.0,0,1,2,Triveni Sinha,8209879454
RENT-OFFI-141,Available,Rent,2025-03-08,Lad Apartments,Bhayandar West,Mira Bhayandar,401107,Office Space,,0,899,Carpet,6,2,Fully Furnished,East,2,24,engineer rich interfaces,,101000.0,505000.0,0,1,2,Priya Garg,4842112093
SALE-SHOP-142,Available,Sale,2023-12-11,Sheth Apartments,Golden Nest,Mira Bhayandar,401105,Shop,,1,948,Carpet,18,2,Unfurnished,North,1,12,engineer rich relationships,20600000.0,,,0,1,2,Omaja Dua,5009236650
SALE-OFFI-143,Available,Sale,2025-07-04,Thaker Greens,Golden Nest,Mira Bhayandar,401107,Office Space,,1,1976,Built-up,25,2,Fully Furnished,South,2,15,matrix seamless solutions,8300000.0,,,0,1,1,Lopa Gaba,8388390914
SALE-SHOP-144,Available,Sale,2024-12-02,Bala Enclave,Shivar Garden,Mira Bhayandar,401101,Shop,,0,2483,Carpet,16,2,Unfurnished,West,1,1,reinvent real-time initiatives,26300000.0,,,0,0,1,Aarna Shere,916369606203
SALE-APAR-145,Available,Sale,2025-07-21,Ramakrishnan Heights,Mira Road East,Mira Bhayandar,401107,Apartment,3.0,4,1643,Built-up,7,27,Fully Furnished,South,2,10,drive 24/7 metrics,22500000.0,,,5949,0,1,Gaurangi Sarkar,9107442318
RENT-OFFI-146,Available,Rent,2024-10-15,Bal Enclave,Mira Road East,Mira Bhayandar,401101,Office Space,,1,2477,Carpet,16,2,Unfurnished,North-East,2,19,syndicate scalable action-items,,200000.0,800000.0,0,0,1,Kamya Thakur,8520194719
SALE-APAR-147,Available,Sale,2025-03-27,Atwal Park,Jesal Park,Mira Bhayandar,401101,Apartment,2.0,2,674,Built-up,23,21,Fully Furnished,West,1,7,empower innovative web-readiness,10400000.0,,,2120,0,1,Ekantika Chowdhury,914645207057
SALE-SHOP-148,Available,Sale,2024-11-11,Kara Gardens,Shanti Nagar,Mira Bhayandar,401107,Shop,,1,1019,Carpet,0,2,Unfurnished,East,1,1,unleash user-centric web services,9800000.0,,,0,1,2,Mahika Magar,8721104146
SALE-OFFI-149,Available,Sale,2024-03-10,Modi Towers,Jesal Park,Mira Bhayandar,401107,Office Space,,1,2425,Built-up,19,2,Semi-Furnished,East,1,23,deliver dot-com niches,22100000.0,,,0,1,1,Nathaniel Muni,915505354691
SALE-BUNG-150,Available,Sale,2023-08-05,Kant Apartments,Golden Nest,Mira Bhayandar,401107,Bungalow,5.0,6,2855,Carpet,0,2,Semi-Furnished,East,1,12,re-intermediate cutting-edge mindshare,44000000.0,,,0,1,1,Rachita Sarin,2676090950
SALE-SHOP-151,Available,Sale,2024-09-05,Vaidya Heights,Kanakia,Mira Bhayandar,401107,Shop,,1,1557,Built-up,8,2,Unfurnished,South-West,1,17,whiteboard ubiquitous e-business,29700000.0,,,0,0,2,Christopher Sekhon,6318862209
SALE-BUNG-152,Available,Sale,2025-02-09,Dutt Towers,Kanakia,Mira Bhayandar,401107,Bungalow,4.0,5,2846,Carpet,0,2,Fully Furnished,North,0,3,expedite dynamic deliverables,35900000.0,,,0,1,1,Arjun Reddy,5346670273
SALE-BUNG-153,Available,Sale,2023-08-10,Ahluwalia Heights,Shanti Nagar,Mira Bhayandar,401107,Bungalow,5.0,7,3446,Built-up,0,2,Fully Furnished,South,0,9,embrace killer content,35500000.0,,,0,0,2,Upadhriti Thakur,915590428113
SALE-BUNG-154,Available,Sale,2024-07-22,Ramaswamy Enclave,Shivar Garden,Mira Bhayandar,401107,Bungalow,5.0,6,2778,Carpet,0,2,Fully Furnished,North-East,2,2,cultivate dot-com info-mediaries,29100000.0,,,0,1,2,Jagvi Hans,7837588982
SALE-SHOP-155,Available,Sale,2025-05-30,Dubey Plaza,Shanti Nagar,Mira Bhayandar,401105,Shop,,1,279,Carpet,19,2,Unfurnished,East,1,5,architect killer architectures,13700000.0,,,0,1,1,Ishaan Sarin,6983431277
RENT-APAR-156,Available,Rent,2025-05-01,Shankar Complex,Naya Nagar,Mira Bhayandar,401107,Apartment,3.0,4,1340,Built-up,2,8,Semi-Furnished,North,2,23,incubate ubiquitous communities,,62000.0,310000.0,4075,1,2,Nakul Mander,5908577546
SALE-BUNG-157,Available,Sale,2023-12-23,Palan Plaza,Kanakia,Mira Bhayandar,401107,Bungalow,3.0,4,2553,Carpet,0,2,Semi-Furnished,South,2,7,grow compelling metrics,40100000.0,,,0,1,1,Madhavi Rana,2057185803
SALE-BUNG-158,Available,Sale,2024-09-22,Kuruvilla Residency,Kanakia,Mira Bhayandar,401107,Bungalow,5.0,7,3204,Built-up,0,2,Unfurnished,East,0,23,synthesize impactful metrics,36600000.0,,,0,1,2,Guneet Mital,918806088689
SALE-SHOP-159,Available,Sale,2024-04-14,Pall Enclave,Bhayandar West,Mira Bhayandar,401101,Shop,,1,1961,Carpet,23,2,Unfurnished,North-East,0,23,streamline wireless mindshare,13900000.0,,,0,0,1,Dev Peri,4496753505
RENT-APAR-160,Available,Rent,2025-01-12,Mani Enclave,Mira Road East,Mira Bhayandar,401105,Apartment,3.0,3,1545,Built-up,24,6,Unfurnished,West,1,1,utilize granular relationships,,60000.0,180000.0,5801,1,1,Kalpit Sehgal,1407036466
SALE-OFFI-161,Available,Sale,2023-12-01,Patel Gardens,Golden Nest,Mira Bhayandar,401101,Office Space,,1,1768,Carpet,20,2,Fully Furnished,South-West,0,17,deploy 24/7 bandwidth,29700000.0,,,0,1,2,Anirudh Bhandari,911608286607
RENT-APAR-162,Available,Rent,2024-06-03,Pingle Heights,Naya Nagar,Mira Bhayandar,401107,Apartment,2.0,2,652,Carpet,10,21,Fully Furnished,West,2,10,extend plug-and-play info-mediaries,,33000.0,132000.0,2566,0,2,Indrajit Chokshi,6301623174
SALE-BUNG-163,Available,Sale,2025-06-27,Subramaniam Complex,Shivar Garden,Mira Bhayandar,401107,Bungalow,4.0,6,2893,Built-up,0,2,Fully Furnished,North,1,22,innovate frictionless experiences,45800000.0,,,0,0,1,Isaac Tailor,950848573
RENT-SHOP-164,Available,Rent,2025-06-27,Saxena Residency,Jesal Park,Mira Bhayandar,401107,Shop,,0,1840,Built-up,0,2,Unfurnished,North-East,0,11,optimize compelling methodologies,,84000.0,336000.0,0,0,2,Wahab Mishra,287299954
RENT-OFFI-165,Available,Rent,2024-12-03,Prabhakar Greens,Jesal Park,Mira Bhayandar,401101,Office Space,,0,771,Carpet,8,2,Fully Furnished,West,2,19,seize bricks-and-clicks experiences,,71000.0,284000.0,0,0,1,Maanav Gokhale,5187987541
SALE-SHOP-166,Available,Sale,2024-06-01,Bhalla Heights,Bhayandar West,Mira Bhayandar,401101,Shop,,1,584,Built-up,4,2,Unfurnished,South-West,1,7,embrace magnetic platforms,34800000.0,,,0,1,1,Vedhika Comar,915286279602
SALE-APAR-167,Available,Sale,2024-04-26,Ravel Enclave,Shanti Nagar,Mira Bhayandar,401101,Apartment,4.0,4,1974,Built-up,21,25,Fully Furnished,South-West,2,20,e-enable front-end interfaces,28200000.0,,,8661,0,1,Zarna Naik,917923826652
SALE-APAR-168,Available,Sale,2024-04-05,Misra Complex,Shanti Nagar,Mira Bhayandar,401107,Apartment,2.0,2,707,Built-up,6,26,Unfurnished,South,1,9,expedite back-end technologies,13700000.0,,,2345,0,2,Jagdish Toor,918118433538
SALE-BUNG-169,Available,Sale,2025-01-05,Rajan Plaza,Bhayandar West,Mira Bhayandar,401105,Bungalow,4.0,5,2769,Carpet,0,2,Semi-Furnished,North-East,0,2,empower end-to-end vortals,28500000.0,,,0,1,2,Abhimanyu Dhingra,910547241055
SALE-SHOP-170,Available,Sale,2025-03-11,Ahuja Towers,Mira Road East,Mira Bhayandar,401107,Shop,,1,2025,Carpet,10,2,Unfurnished,South-West,2,3,whiteboard 24/7 methodologies,25600000.0,,,0,1,2,Bhavna Atwal,913211563579
SALE-BUNG-171,Available,Sale,2024-12-06,Nayar Complex,Shanti Nagar,Mira Bhayandar,401105,Bungalow,3.0,4,3471,Carpet,0,2,Fully Furnished,West,0,23,visualize 24/365 channels,35500000.0,,,0,1,1,Gaurav Zacharia,722774578
SALE-SHOP-172,Available,Sale,2025-07-13,Bhargava Apartments,Jesal Park,Mira Bhayandar,401105,Shop,,1,782,Carpet,23,2,Unfurnished,North,0,15,cultivate rich models,39300000.0,,,0,1,1,Bhanumati Dash,916114122321
RENT-OFFI-173,Available,Rent,2024-11-01,Varma Gardens,Bhayandar West,Mira Bhayandar,401107,Office Space,,0,605,Carpet,19,2,Fully Furnished,West,2,2,synthesize end-to-end web-readiness,,64000.0,320000.0,0,1,2,Zashil Mani,917154254742
RENT-APAR-174,Available,Rent,2024-02-09,Sen Apartments,Naya Nagar,Mira Bhayandar,401105,Apartment,1.0,1,527,Carpet,17,17,Semi-Furnished,North,0,13,envisioneer next-generation web-readiness,,15000.0,60000.0,1577,1,1,Vedant Saxena,7383261101
SALE-SHOP-175,Available,Sale,2024-08-10,Bera Plaza,Bhayandar West,Mira Bhayandar,401105,Shop,,1,2062,Built-up,24,2,Unfurnished,South-West,2,18,strategize efficient schemas,39200000.0,,,0,1,1,Niharika Rana,2381800371
RENT-OFFI-176,Available,Rent,2024-07-20,Sankaran Towers,Shanti Nagar,Mira Bhayandar,401101,Office Space,,1,1797,Built-up,4,2,Semi-Furnished,West,0,1,grow one-to-one deliverables,,182000.0,364000.0,0,1,1,Chanakya Nagy,7821633318
SALE-BUNG-177,Available,Sale,2023-10-30,Grover Complex,Bhayandar East,Mira Bhayandar,401105,Bungalow,4.0,6,2044,Built-up,0,2,Semi-Furnished,North-East,2,21,exploit mission-critical networks,49400000.0,,,0,1,2,Samuel Halder,2562693721
SALE-APAR-178,Available,Sale,2024-04-22,Ravel Towers,Naya Nagar,Mira Bhayandar,401105,Apartment,4.0,5,1648,Built-up,23,28,Semi-Furnished,East,1,3,implement extensible action-items,29800000.0,,,6708,1,2,Dipta Magar,5557090751
SALE-SHOP-179,Available,Sale,2023-12-15,Nigam Plaza,Kanakia,Mira Bhayandar,401101,Shop,,1,2451,Carpet,8,2,Unfurnished,North-East,0,5,iterate mission-critical web-readiness,9200000.0,,,0,0,1,Dev Lall,914780017388
SALE-APAR-180,Available,Sale,2024-11-06,Hegde Plaza,Mira Road East,Mira Bhayandar,401107,Apartment,1.0,2,541,Carpet,9,25,Semi-Furnished,South,2,2,facilitate frictionless interfaces,5600000.0,,,1862,1,1,Tanvi Vasa,915182519547
SALE-OFFI-181,Available,Sale,2024-08-18,Doctor Gardens,Beverly Park,Mira Bhayandar,401107,Office Space,,1,1382,Carpet,10,2,Unfurnished,West,0,6,integrate e-business users,27300000.0,,,0,1,2,Nicholas Chacko,917267955558
RENT-OFFI-182,Available,Rent,2023-08-16,Gokhale Plaza,Bhayandar East,Mira Bhayandar,401107,Office Space,,1,521,Built-up,2,2,Fully Furnished,North,2,7,re-contextualize wireless content,,141000.0,423000.0,0,1,1,Gavin Nagi,8126616514
SALE-OFFI-183,Available,Sale,2025-04-28,Mane Residency,Bhayandar East,Mira Bhayandar,401107,Office Space,,1,2206,Carpet,12,2,Unfurnished,North,1,12,engage transparent users,23300000.0,,,0,0,1,Anay Padmanabhan,914329015687
RENT-SHOP-184,Available,Rent,2025-04-14,Badal Enclave,Beverly Park,Mira Bhayandar,401105,Shop,,1,934,Carpet,12,2,Unfurnished,North-East,1,6,synergize revolutionary relationships,,198000.0,792000.0,0,1,2,Omya Palla,674532309
SALE-APAR-185,Available,Sale,2024-09-23,Doctor Apartments,Golden Nest,Mira Bhayandar,401101,Apartment,2.0,2,844,Built-up,5,15,Unfurnished,South-West,1,1,enable bleeding-edge applications,9000000.0,,,2122,0,2,Wakeeta Munshi,917997458540
SALE-APAR-186,Available,Sale,2023-09-18,Mistry Heights,Naya Nagar,Mira Bhayandar,401105,Apartment,3.0,3,1165,Carpet,25,10,Semi-Furnished,East,0,15,strategize strategic convergence,29400000.0,,,4313,0,1,Ganga Keer,912738092431
RENT-APAR-187,Available,Rent,2025-06-13,Rastogi Residency,Bhayandar West,Mira Bhayandar,401101,Apartment,2.0,3,750,Built-up,1,11,Semi-Furnished,South,0,4,transform scalable initiatives,,37000.0,148000.0,2610,0,1,Tejas Din,2146872065
SALE-BUNG-188,Available,Sale,2024-08-24,Krishnan Towers,Bhayandar East,Mira Bhayandar,401107,Bungalow,3.0,5,2729,Built-up,0,2,Fully Furnished,South-West,0,7,extend web-enabled bandwidth,29900000.0,,,0,0,2,Viraj Buch,911699969
SALE-BUNG-189,Available,Sale,2025-03-15,Khatri Apartments,Naya Nagar,Mira Bhayandar,401105,Bungalow,4.0,6,3052,Built-up,0,2,Fully Furnished,West,0,11,strategize out-of-the-box bandwidth,37200000.0,,,0,1,1,Inaya Mahajan,253740753
SALE-OFFI-190,Available,Sale,2023-09-20,Narayan Heights,Bhayandar West,Mira Bhayandar,401107,Office Space,,1,340,Carpet,0,2,Semi-Furnished,West,0,21,orchestrate end-to-end users,36500000.0,,,0,1,2,Theodore Prabhakar,914435476296
SALE-BUNG-191,Available,Sale,2023-08-20,Gade Enclave,Naya Nagar,Mira Bhayandar,401107,Bungalow,4.0,6,2857,Built-up,0,2,Fully Furnished,South-West,2,18,expedite compelling markets,41200000.0,,,0,1,1,Jatin Bhasin,6596969964
SALE-APAR-192,Available,Sale,2025-07-21,Bala Plaza,Shivar Garden,Mira Bhayandar,401107,Apartment,1.0,2,654,Built-up,1,28,Semi-Furnished,East,0,15,synthesize bricks-and-clicks convergence,4500000.0,,,1725,1,1,Vasana Desai,912169675009
RENT-SHOP-193,Available,Rent,2025-05-30,Din Apartments,Jesal Park,Mira Bhayandar,401105,Shop,,0,962,Carpet,3,2,Unfurnished,West,2,14,mesh web-enabled bandwidth,,190000.0,760000.0,0,1,2,Azaan Subramaniam,9388999665
SALE-BUNG-194,Available,Sale,2023-11-22,Chaudry Heights,Naya Nagar,Mira Bhayandar,401107,Bungalow,3.0,5,3263,Built-up,0,2,Semi-Furnished,South,0,14,unleash dynamic metrics,42500000.0,,,0,1,1,Eiravati Biswas,1485777817
RENT-OFFI-195,Available,Rent,2025-01-02,Sengupta Heights,Mira Road East,Mira Bhayandar,401105,Office Space,,1,960,Built-up,20,2,Unfurnished,North,2,17,unleash dynamic convergence,,140000.0,420000.0,0,1,2,Falak Mann,480157737
SALE-APAR-196,Available,Sale,2023-11-16,Baria Complex,Bhayandar East,Mira Bhayandar,401101,Apartment,1.0,2,672,Built-up,6,8,Unfurnished,North-East,1,11,engage intuitive e-business,7200000.0,,,1975,1,2,Patrick Pant,5897627296
RENT-SHOP-197,Available,Rent,2024-12-22,Rajagopal Complex,Naya Nagar,Mira Bhayandar,401107,Shop,,0,314,Built-up,4,2,Unfurnished,North,1,11,harness out-of-the-box users,,53000.0,265000.0,0,1,1,Logan Das,919442430223
SALE-APAR-198,Available,Sale,2024-07-05,Luthra Residency,Jesal Park,Mira Bhayandar,401105,Apartment,3.0,3,1591,Built-up,8,4,Unfurnished,East,2,17,generate one-to-one systems,23900000.0,,,6300,0,1,Maanas Mallick,911477844494
SALE-BUNG-199,Available,Sale,2024-01-31,Bala Residency,Kanakia,Mira Bhayandar,401101,Bungalow,5.0,7,2281,Built-up,0,2,Semi-Furnished,East,2,13,embrace impactful niches,33300000.0,,,0,1,1,Qarin Dube,7467498993
RENT-APAR-200,Available,Rent,2025-07-12,Dua Enclave,Kanakia,Mira Bhayandar,401105,Apartment,3.0,4,1910,Built-up,19,9,Semi-Furnished,South-West,0,4,harness vertical web services,,59000.0,236000.0,6882,1,1,Veda Raja,1856196743
RENT-APAR-201,Available,Rent,2024-11-01,Kant Apartments,Bhayandar West,Mira Bhayandar,401101,Apartment,1.0,2,567,Carpet,1,23,Semi-Furnished,South,0,18,repurpose leading-edge e-commerce,,15000.0,75000.0,2367,0,1,Nicholas Mane,8640142129
RENT-APAR-202,Available,Rent,2024-05-24,Gokhale Enclave,Bhayandar West,Mira Bhayandar,401101,Apartment,4.0,4,1935,Carpet,24,28,Fully Furnished,West,1,22,envisioneer e-business relationships,,60000.0,180000.0,6953,1,1,Falan Nagy,912145424989
SALE-BUNG-203,Available,Sale,2024-12-12,Dani Park,Golden Nest,Mira Bhayandar,401105,Bungalow,5.0,6,2367,Carpet,0,2,Unfurnished,North,1,12,repurpose rich infrastructures,42000000.0,,,0,1,2,Vidhi Bhatt,3430997554
SALE-OFFI-204,Available,Sale,2023-09-27,Shetty Park,Bhayandar West,Mira Bhayandar,401101,Office Space,,1,1885,Carpet,19,2,Semi-Furnished,South-West,0,7,re-contextualize viral systems,34200000.0,,,0,0,1,Shivansh Devan,3229577542
RENT-APAR-205,Available,Rent,2024-09-08,Raman Enclave,Shanti Nagar,Mira Bhayandar,401101,Apartment,1.0,2,649,Carpet,5,23,Unfurnished,East,1,14,visualize leading-edge metrics,,23000.0,46000.0,1811,1,1,Ishaan Rajagopalan,745055464
