clientid,client_name,client_phone,client_email,looking_for,requirements,status,client_bhk,client_furnishing,client_location,client_flexible_location,client_budget,client_listing_type
CL-1020,Ojasvi Samra,917814179939,ojasvi.95@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹105L",Lost Interest,2,,Anywhere in Mira Bhayandar,True,10500000,Sale
CL-1021,Oliver Thakur,7506948743,oliver.71@example.com,Rent,"2 BHK Fully Furnished in Mira Road East, Rent up to â‚¹32k",Actively Searching,2,Fully Furnished,Mira Road East,False,32000,Rent
CL-1022,Amrita Iyengar,8783819129,amrita.16@example.com,Sale,"1 BHK in Anywhere in Mira Bhayandar, Budget â‚¹65L",Site Visit Planned,1,,Anywhere in Mira Bhayandar,True,6500000,Sale
CL-1023,Finn Din,6793876171,finn.24@example.com,Rent,"2 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹29k",On Hold,2,Unfurnished,Anywhere in Mira Bhayandar,True,29000,Rent
CL-1024,Matthew Bhandari,285322732,matthew.99@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹60L",On Hold,1,,Bhayandar East,False,6000000,Sale
CL-1025,Vincent Walla,8926009418,vincent.24@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹95L",Lost Interest,2,,Anywhere in Mira Bhayandar,True,9500000,Sale
CL-1026,Pranav Nayak,1521916575,pranav.18@example.com,Rent,"2 BHK Unfurnished in Bhayandar East, Rent up to â‚¹29k",Lost Interest,2,Unfurnished,Bhayandar East,False,29000,Rent
CL-1027,Jairaj Korpal,917149154229,jairaj.98@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹210L",Actively Searching,3,,Mira Road East,False,21000000,Sale
CL-1028,Isha Gopal,264570168,isha.34@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹200L",Site Visit Planned,3,,Anywhere in Mira Bhayandar,True,20000000,Sale
CL-1029,Brijesh Dora,6958122477,brijesh.55@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹230L",Site Visit Planned,3,,Anywhere in Mira Bhayandar,True,23000000,Sale
CL-1030,Tanay Sarma,7352284019,tanay.12@example.com,Sale,"1 BHK in Bhayandar West, Budget â‚¹65L",Site Visit Planned,1,,Bhayandar West,False,6500000,Sale
CL-1031,Hemal Karnik,803004303,hemal.5@example.com,Rent,"1 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹24k",Actively Searching,1,Fully Furnished,Bhayandar West,False,24000,Rent
CL-1032,Maanas Mody,7041659297,maanas.12@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹50L",Deal Closed,1,,Bhayandar East,False,5000000,Sale
CL-1033,Gautami Sha,1699211750,gautami.56@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹130L",Negotiating,2,,Bhayandar West,False,13000000,Sale
CL-1034,Nandini Ghosh,8586693216,nandini.94@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹65L",Actively Searching,1,,Mira Road East,False,6500000,Sale
CL-1035,Zansi Sastry,5067304637,zansi.79@example.com,Rent,"2 BHK Unfurnished in Mira Road East, Rent up to â‚¹39k",Negotiating,2,Unfurnished,Mira Road East,False,39000,Rent
CL-1036,Girish Grover,9300946493,girish.53@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹90L",Actively Searching,2,,Anywhere in Mira Bhayandar,True,9000000,Sale
CL-1037,Pranav Bose,919831847320,pranav.66@example.com,Rent,"2 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹37k",On Hold,2,Semi-Furnished,Mira Road East,False,37000,Rent
CL-1038,Vaishnavi Ratta,7699155232,vaishnavi.93@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹125L",Site Visit Planned,2,,Mira Road East,False,12500000,Sale
CL-1039,Edhitha Sidhu,5082048873,edhitha.52@example.com,Rent,"3 BHK Semi-Furnished in Bhayandar West, Rent up to â‚¹58k",Lost Interest,3,Semi-Furnished,Bhayandar West,False,58000,Rent
CL-1040,Nikita Mani,2598535311,nikita.22@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹180L",Actively Searching,3,,Mira Road East,False,18000000,Sale
CL-1041,Rachana Gokhale,918803274304,rachana.6@example.com,Rent,"3 BHK Fully Furnished in Mira Road East, Rent up to â‚¹42k",Site Visit Planned,3,Fully Furnished,Mira Road East,False,42000,Rent
CL-1042,Wishi Sinha,8304272966,wishi.85@example.com,Rent,"1 BHK Fully Furnished in Mira Road East, Rent up to â‚¹18k",Site Visit Planned,1,Fully Furnished,Mira Road East,False,18000,Rent
CL-1043,Jagat Mangat,6441861853,jagat.53@example.com,Rent,"2 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹27k",On Hold,2,Fully Furnished,Bhayandar East,False,27000,Rent
CL-1044,Umang Seshadri,7965894566,umang.24@example.com,Rent,"3 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹52k",On Hold,3,Unfurnished,Anywhere in Mira Bhayandar,True,52000,Rent
CL-1045,Nidra Sandal,2486197093,nidra.56@example.com,Rent,"3 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹54k",Lost Interest,3,Semi-Furnished,Mira Road East,False,54000,Rent
CL-1046,Ayush Bhardwaj,649265787,ayush.51@example.com,Rent,"2 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹31k",On Hold,2,Semi-Furnished,Anywhere in Mira Bhayandar,True,31000,Rent
CL-1047,Amara Ganguly,9898442321,amara.35@example.com,Rent,"1 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹20k",Lost Interest,1,Fully Furnished,Anywhere in Mira Bhayandar,True,20000,Rent
CL-1048,Teerth Dixit,913750355562,teerth.37@example.com,Rent,"2 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹30k",Lost Interest,2,Fully Furnished,Bhayandar West,False,30000,Rent
CL-1049,Mekhala Gala,5374129097,mekhala.47@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹210L",On Hold,3,,Bhayandar East,False,21000000,Sale
CL-1050,Gabriel Gill,917805710687,gabriel.91@example.com,Rent,"3 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹58k",Negotiating,3,Semi-Furnished,Anywhere in Mira Bhayandar,True,58000,Rent
CL-1051,Madhavi Vig,824200854,madhavi.18@example.com,Rent,"2 BHK Fully Furnished in Mira Road East, Rent up to â‚¹27k",Actively Searching,2,Fully Furnished,Mira Road East,False,27000,Rent
CL-1052,Sudiksha Dua,6355588195,sudiksha.48@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹140L",Site Visit Planned,2,,Mira Road East,False,14000000,Sale
CL-1053,Luke Som,917382045021,luke.85@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹100L",Deal Closed,2,,Anywhere in Mira Bhayandar,True,10000000,Sale
CL-1054,Karan Modi,914136809508,karan.81@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹55L",On Hold,1,,Mira Road East,False,5500000,Sale
CL-1055,Vritti Sandhu,7025025203,vritti.85@example.com,Rent,"3 BHK Unfurnished in Mira Road East, Rent up to â‚¹52k",Deal Closed,3,Unfurnished,Mira Road East,False,52000,Rent
CL-1056,Faras Bhatnagar,5789567727,faras.71@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹160L",Actively Searching,3,,Mira Road East,False,16000000,Sale
CL-1057,Qasim Gade,8693290359,qasim.74@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹105L",Negotiating,2,,Anywhere in Mira Bhayandar,True,10500000,Sale
CL-1058,Siya Basak,1751329073,siya.37@example.com,Rent,"1 BHK Fully Furnished in Mira Road East, Rent up to â‚¹18k",Site Visit Planned,1,Fully Furnished,Mira Road East,False,18000,Rent
CL-1059,Mekhala Subramanian,6451900556,mekhala.20@example.com,Rent,"1 BHK Unfurnished in Bhayandar West, Rent up to â‚¹21k",Actively Searching,1,Unfurnished,Bhayandar West,False,21000,Rent
CL-1060,Jasmit Khosla,912686402687,jasmit.78@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹170L",Deal Closed,3,,Bhayandar West,False,17000000,Sale
CL-1061,Chaitanya Maharaj,911223343839,chaitanya.12@example.com,Rent,"1 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹20k",Deal Closed,1,Fully Furnished,Bhayandar East,False,20000,Rent
CL-1062,Lavanya Dara,913533056260,lavanya.36@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹70L",Deal Closed,1,,Bhayandar East,False,7000000,Sale
CL-1063,Pavani Arya,912030255660,pavani.52@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹120L",On Hold,2,,Anywhere in Mira Bhayandar,True,12000000,Sale
CL-1064,Isaac Master,4669137958,isaac.90@example.com,Rent,"2 BHK Semi-Furnished in Bhayandar West, Rent up to â‚¹28k",Negotiating,2,Semi-Furnished,Bhayandar West,False,28000,Rent
CL-1065,Yash Agrawal,6223559667,yash.30@example.com,Rent,"3 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹48k",On Hold,3,Fully Furnished,Anywhere in Mira Bhayandar,True,48000,Rent
CL-1066,Yochana Kari,7413280821,yochana.15@example.com,Rent,"3 BHK Unfurnished in Bhayandar East, Rent up to â‚¹46k",Actively Searching,3,Unfurnished,Bhayandar East,False,46000,Rent
CL-1067,Xiti Sami,741601771,xiti.84@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹210L",On Hold,3,,Anywhere in Mira Bhayandar,True,21000000,Sale
CL-1068,Jalsa Gopal,4636206600,jalsa.56@example.com,Rent,"3 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹56k",Site Visit Planned,3,Semi-Furnished,Mira Road East,False,56000,Rent
CL-1069,Nihal Mittal,919236992380,nihal.50@example.com,Sale,"1 BHK in Anywhere in Mira Bhayandar, Budget â‚¹55L",Negotiating,1,,Anywhere in Mira Bhayandar,True,5500000,Sale
CL-1070,Aarnav Dhingra,5508895303,aarnav.81@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹95L",Lost Interest,2,,Mira Road East,False,9500000,Sale
CL-1071,Ekbal Kapadia,917331939540,ekbal.35@example.com,Sale,"2 BHK in Bhayandar East, Budget â‚¹135L",Site Visit Planned,2,,Bhayandar East,False,13500000,Sale
CL-1072,Pratyush Chacko,918774948888,pratyush.98@example.com,Rent,"3 BHK Semi-Furnished in Bhayandar West, Rent up to â‚¹46k",On Hold,3,Semi-Furnished,Bhayandar West,False,46000,Rent
CL-1073,Aayush Dhawan,7197570018,aayush.13@example.com,Rent,"1 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹19k",Negotiating,1,Semi-Furnished,Anywhere in Mira Bhayandar,True,19000,Rent
CL-1074,Rajata Sinha,3997118312,rajata.28@example.com,Rent,"3 BHK Semi-Furnished in Bhayandar West, Rent up to â‚¹42k",Lost Interest,3,Semi-Furnished,Bhayandar West,False,42000,Rent
CL-1075,Garima Wason,6207678993,garima.28@example.com,Rent,"3 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹48k",Actively Searching,3,Semi-Furnished,Mira Road East,False,48000,Rent
CL-1076,Ekantika Sem,3926395649,ekantika.77@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹110L",On Hold,2,,Bhayandar West,False,11000000,Sale
CL-1077,Gaurangi Deol,344042637,gaurangi.70@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹105L",Lost Interest,2,,Anywhere in Mira Bhayandar,True,10500000,Sale
CL-1078,Lucky Viswanathan,1421892138,lucky.69@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹240L",Negotiating,3,,Bhayandar East,False,24000000,Sale
CL-1079,Panini Sunder,2985955967,panini.61@example.com,Rent,"1 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹23k",Site Visit Planned,1,Unfurnished,Anywhere in Mira Bhayandar,True,23000,Rent
CL-1080,Aarav Chakrabarti,2841258601,aarav.40@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹125L",Actively Searching,2,,Anywhere in Mira Bhayandar,True,12500000,Sale
CL-1081,Yutika Bandi,2979067386,yutika.28@example.com,Rent,"1 BHK Fully Furnished in Mira Road East, Rent up to â‚¹24k",Site Visit Planned,1,Fully Furnished,Mira Road East,False,24000,Rent
CL-1082,Gaurang Mitra,1326084629,gaurang.51@example.com,Sale,"1 BHK in Bhayandar West, Budget â‚¹70L",Negotiating,1,,Bhayandar West,False,7000000,Sale
CL-1083,Yauvani Saraf,9653306276,yauvani.88@example.com,Rent,"3 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹42k",Actively Searching,3,Unfurnished,Anywhere in Mira Bhayandar,True,42000,Rent
CL-1084,Ekani Sawhney,258553522,ekani.10@example.com,Rent,"3 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹40k",Lost Interest,3,Fully Furnished,Anywhere in Mira Bhayandar,True,40000,Rent
CL-1085,Gautam Sami,911830060364,gautam.88@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹70L",Negotiating,1,,Bhayandar East,False,7000000,Sale
CL-1086,Logan Bali,4255205581,logan.30@example.com,Rent,"2 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹38k",Deal Closed,2,Semi-Furnished,Mira Road East,False,38000,Rent
CL-1087,Chaitanya Nagy,2715311284,chaitanya.88@example.com,Rent,"3 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹58k",Deal Closed,3,Fully Furnished,Anywhere in Mira Bhayandar,True,58000,Rent
CL-1088,Omkaar Sani,911611761964,omkaar.52@example.com,Rent,"3 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹58k",Lost Interest,3,Semi-Furnished,Anywhere in Mira Bhayandar,True,58000,Rent
CL-1089,Jackson Venkataraman,7172221270,jackson.82@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹210L",On Hold,3,,Bhayandar West,False,21000000,Sale
CL-1090,Fitan Ramesh,914624491034,fitan.9@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹50L",Actively Searching,1,,Mira Road East,False,5000000,Sale
CL-1091,Farhan Tak,916542070053,farhan.16@example.com,Rent,"3 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹52k",Negotiating,3,Semi-Furnished,Bhayandar East,False,52000,Rent
CL-1092,Pratyush Bakshi,5289431358,pratyush.88@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹60L",Site Visit Planned,1,,Mira Road East,False,6000000,Sale
CL-1093,Gaurika Saha,9354770425,gaurika.9@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹240L",Negotiating,3,,Bhayandar West,False,24000000,Sale
CL-1094,Aryan Dalal,913917545989,aryan.65@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹120L",Negotiating,2,,Bhayandar West,False,12000000,Sale
CL-1095,Aradhana Dewan,1084583342,aradhana.85@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹190L",Negotiating,3,,Anywhere in Mira Bhayandar,True,19000000,Sale
CL-1096,Xavier Verma,4720005602,xavier.89@example.com,Rent,"3 BHK Unfurnished in Mira Road East, Rent up to â‚¹54k",Deal Closed,3,Unfurnished,Mira Road East,False,54000,Rent
CL-1097,Tanmayi Mander,4097879957,tanmayi.78@example.com,Rent,"1 BHK Unfurnished in Mira Road East, Rent up to â‚¹21k",Actively Searching,1,Unfurnished,Mira Road East,False,21000,Rent
CL-1098,Pranit Bhattacharyya,2241867113,pranit.12@example.com,Rent,"3 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹54k",On Hold,3,Fully Furnished,Bhayandar East,False,54000,Rent
CL-1099,Azaan Saxena,4955089821,azaan.4@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹80L",Actively Searching,2,,Bhayandar West,False,8000000,Sale
CL-1100,Lekha Loyal,3603833279,lekha.1@example.com,Rent,"2 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹33k",On Hold,2,Semi-Furnished,Bhayandar East,False,33000,Rent
CL-1101,Sanya Kashyap,759499979,sanya.52@example.com,Rent,"2 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹31k",On Hold,2,Unfurnished,Anywhere in Mira Bhayandar,True,31000,Rent
CL-1102,Osha Wason,5942564055,osha.16@example.com,Rent,"1 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹24k",Actively Searching,1,Semi-Furnished,Bhayandar East,False,24000,Rent
CL-1103,Advik Dara,1311554778,advik.14@example.com,Sale,"1 BHK in Bhayandar West, Budget â‚¹70L",Actively Searching,1,,Bhayandar West,False,7000000,Sale
CL-1104,Sneha Kale,915719471421,sneha.86@example.com,Rent,"2 BHK Unfurnished in Bhayandar East, Rent up to â‚¹30k",Actively Searching,2,Unfurnished,Bhayandar East,False,30000,Rent
CL-1105,Upasna Rajagopal,911972716985,upasna.64@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹140L",Site Visit Planned,2,,Anywhere in Mira Bhayandar,True,14000000,Sale
CL-1106,Kashvi Shankar,7647817604,kashvi.38@example.com,Rent,"2 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹30k",Negotiating,2,Fully Furnished,Anywhere in Mira Bhayandar,True,30000,Rent
CL-1107,Hiral Mane,910309305124,hiral.72@example.com,Rent,"2 BHK Unfurnished in Bhayandar East, Rent up to â‚¹39k",Actively Searching,2,Unfurnished,Bhayandar East,False,39000,Rent
CL-1108,Urvi Maharaj,1621184645,urvi.35@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹145L",Negotiating,2,,Anywhere in Mira Bhayandar,True,14500000,Sale
CL-1109,Advik Bajaj,3570010658,advik.90@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹170L",Site Visit Planned,3,,Bhayandar West,False,17000000,Sale
CL-1110,Eta Som,2674588041,eta.8@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹125L",Negotiating,2,,Anywhere in Mira Bhayandar,True,12500000,Sale
CL-1111,Azaan Sankar,919990961054,azaan.18@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹105L",Negotiating,2,,Mira Road East,False,10500000,Sale
CL-1112,Christopher Devan,6809032054,christopher.21@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹65L",On Hold,1,,Bhayandar East,False,6500000,Sale
CL-1113,Om Bhagat,918063126946,om.17@example.com,Rent,"2 BHK Fully Furnished in Mira Road East, Rent up to â‚¹31k",Lost Interest,2,Fully Furnished,Mira Road East,False,31000,Rent
CL-1114,Tanveer Venkataraman,5327101338,tanveer.83@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹130L",Negotiating,2,,Mira Road East,False,13000000,Sale
CL-1115,Chandresh Ramanathan,915369737864,chandresh.76@example.com,Rent,"1 BHK Unfurnished in Bhayandar West, Rent up to â‚¹18k",Negotiating,1,Unfurnished,Bhayandar West,False,18000,Rent
CL-1116,Faras Dhar,8894791731,faras.60@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹130L",Lost Interest,2,,Anywhere in Mira Bhayandar,True,13000000,Sale
CL-1117,Chakradhar Mallick,911441022474,chakradhar.7@example.com,Rent,"3 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹56k",Actively Searching,3,Semi-Furnished,Mira Road East,False,56000,Rent
CL-1118,Janya Madan,6941953716,janya.38@example.com,Sale,"1 BHK in Bhayandar West, Budget â‚¹65L",On Hold,1,,Bhayandar West,False,6500000,Sale
CL-1119,Advika Krishnan,8822792978,advika.10@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹210L",Actively Searching,3,,Bhayandar East,False,21000000,Sale
CL-1120,Falan Bhagat,915505721837,falan.13@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹150L",Site Visit Planned,3,,Anywhere in Mira Bhayandar,True,15000000,Sale
CL-1121,Veer Nori,8960913407,veer.1@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹140L",Deal Closed,2,,Bhayandar West,False,14000000,Sale
CL-1122,Nirja Majumdar,3809252988,nirja.78@example.com,Rent,"1 BHK Unfurnished in Bhayandar East, Rent up to â‚¹23k",On Hold,1,Unfurnished,Bhayandar East,False,23000,Rent
CL-1123,Anamika Bera,2077711334,anamika.51@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹160L",On Hold,3,,Bhayandar West,False,16000000,Sale
CL-1124,Ekapad Mane,918957512680,ekapad.21@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹210L",On Hold,3,,Bhayandar East,False,21000000,Sale
CL-1125,Andrew Kadakia,9184334057,andrew.45@example.com,Rent,"3 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹48k",On Hold,3,Semi-Furnished,Anywhere in Mira Bhayandar,True,48000,Rent
CL-1126,Yagnesh Chander,1911371734,yagnesh.18@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹230L",Negotiating,3,,Bhayandar West,False,23000000,Sale
CL-1127,Vaishnavi Borah,917031806454,vaishnavi.55@example.com,Rent,"2 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹27k",On Hold,2,Semi-Furnished,Anywhere in Mira Bhayandar,True,27000,Rent
CL-1128,Girik Mohan,910895899738,girik.36@example.com,Sale,"1 BHK in Anywhere in Mira Bhayandar, Budget â‚¹65L",Lost Interest,1,,Anywhere in Mira Bhayandar,True,6500000,Sale
CL-1129,Hamsini Sur,916501166881,hamsini.96@example.com,Rent,"1 BHK Unfurnished in Bhayandar East, Rent up to â‚¹19k",Deal Closed,1,Unfurnished,Bhayandar East,False,19000,Rent
CL-1130,Siya Bala,911055060343,siya.62@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹60L",Actively Searching,1,,Mira Road East,False,6000000,Sale
CL-1131,Nicholas Uppal,2141067728,nicholas.24@example.com,Rent,"1 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹18k",Negotiating,1,Fully Furnished,Bhayandar East,False,18000,Rent
CL-1132,Rushil Dewan,7348209993,rushil.66@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹60L",Negotiating,1,,Bhayandar East,False,6000000,Sale
CL-1133,Rachana Virk,6236448568,rachana.6@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹170L",Negotiating,3,,Bhayandar East,False,17000000,Sale
CL-1134,Harshil Wali,915977212991,harshil.39@example.com,Sale,"1 BHK in Anywhere in Mira Bhayandar, Budget â‚¹55L",Lost Interest,1,,Anywhere in Mira Bhayandar,True,5500000,Sale
CL-1135,Vamakshi Tailor,7996164355,vamakshi.48@example.com,Rent,"1 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹22k",Deal Closed,1,Semi-Furnished,Bhayandar East,False,22000,Rent
CL-1136,Kashvi Morar,916492291329,kashvi.13@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹200L",Site Visit Planned,3,,Bhayandar West,False,20000000,Sale
CL-1137,Kamya Apte,917640598779,kamya.14@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹200L",Site Visit Planned,3,,Anywhere in Mira Bhayandar,True,20000000,Sale
CL-1138,Panini Narula,914646675917,panini.69@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹55L",Actively Searching,1,,Bhayandar East,False,5500000,Sale
CL-1139,Aarav Bakshi,2668458706,aarav.93@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹100L",On Hold,2,,Bhayandar West,False,10000000,Sale
