property_id,listing_status,listing_type,listing_date,closing_date,building___society,area___locality,city,pincode,property_type,bedrooms__bhk,area__sq__ft,asking_price__â_¹,monthly_rent__â_¹,final_price__â_¹,owner_name
RENT-APAR-2016,Rented,Rent,2020-11-26,2021-02-12,Rajagopalan Residency,Beverly Park,Mira Bhayandar,401107,Apartment,3.0,1532,,41000.0,41000.0,Unni Dhillon
RENT-SHOP-2017,Rented,Rent,2022-09-27,2022-10-25,Mammen Towers,Beverly Park,Mira Bhayandar,401107,Shop,,2197,,68000.0,68000.0,Reyansh Vohra
SALE-OFFI-2018,Sold,Sale,2022-08-09,2022-10-20,Iyengar Heights,Bhayandar East,Mira Bhayandar,401101,Office Space,,1831,26100000.0,,25883161.0,Chasmum Dani
SALE-APAR-2019,Sold,Sale,2021-10-02,2021-10-29,Dhar Towers,Bhayandar West,Mira Bhayandar,401107,Apartment,1.0,630,5200000.0,,5073002.0,Jack Sharma
RENT-OFFI-2020,Rented,Rent,2024-01-19,2024-04-07,Kalla Plaza,Golden Nest,Mira Bhayandar,401101,Office Space,,2101,,138000.0,138000.0,Orinder Yadav
RENT-OFFI-2021,Rented,Rent,2025-06-28,2025-09-23,Dewan Towers,Shanti Nagar,Mira Bhayandar,401101,Office Space,,1167,,127000.0,127000.0,Samarth Ganguly
RENT-APAR-2022,Rented,Rent,2024-06-17,2024-09-07,Jain Plaza,Shanti Nagar,Mira Bhayandar,401105,Apartment,1.0,672,,16000.0,16000.0,Raksha Rajan
RENT-SHOP-2023,Rented,Rent,2024-02-03,2024-04-07,Salvi Towers,Kanakia,Mira Bhayandar,401101,Shop,,1451,,62000.0,62000.0,Amruta Desai
RENT-OFFI-2024,Rented,Rent,2025-05-06,2025-06-07,Ravel Park,Bhayandar East,Mira Bhayandar,401105,Office Space,,241,,125000.0,125000.0,Chasmum Mammen
RENT-APAR-2025,Rented,Rent,2023-04-30,2023-07-01,Solanki Plaza,Beverly Park,Mira Bhayandar,401101,Apartment,2.0,650,,38000.0,38000.0,Michael Sem
SALE-SHOP-2026,Sold,Sale,2021-10-18,2021-12-26,Kaul Complex,Mira Road East,Mira Bhayandar,401107,Shop,,1934,14300000.0,,13846204.0,Varsha Prabhakar
SALE-APAR-2027,Sold,Sale,2025-04-15,2025-07-12,Sur Heights,Bhayandar East,Mira Bhayandar,401105,Apartment,1.0,483,7800000.0,,7463346.0,Ekaraj Mani
SALE-SHOP-2028,Sold,Sale,2024-08-09,2024-10-13,Malhotra Plaza,Beverly Park,Mira Bhayandar,401105,Shop,,2356,22600000.0,,22068938.0,Atharv Talwar
RENT-OFFI-2029,Rented,Rent,2021-04-17,2021-06-20,Bath Heights,Bhayandar East,Mira Bhayandar,401105,Office Space,,1871,,123000.0,123000.0,Ishanvi Thaman
RENT-SHOP-2030,Rented,Rent,2021-03-12,2021-05-16,Roy Plaza,Shanti Nagar,Mira Bhayandar,401107,Shop,,1267,,193000.0,193000.0,Ekta Rege
RENT-SHOP-2031,Rented,Rent,2022-03-22,2022-06-12,Mannan Heights,Golden Nest,Mira Bhayandar,401105,Shop,,1903,,121000.0,121000.0,Darika Gokhale
RENT-APAR-2032,Rented,Rent,2021-05-15,2021-07-20,Peri Towers,Golden Nest,Mira Bhayandar,401101,Apartment,1.0,480,,24000.0,24000.0,Faraj Yohannan
SALE-SHOP-2033,Sold,Sale,2021-05-18,2021-07-11,Sunder Complex,Shanti Nagar,Mira Bhayandar,401105,Shop,,679,9500000.0,,9352526.0,Gopal Lall
SALE-OFFI-2034,Sold,Sale,2022-04-07,2022-04-29,Kota Complex,Mira Road East,Mira Bhayandar,401107,Office Space,,2102,21600000.0,,20802740.0,Kamya Kapur
SALE-OFFI-2035,Sold,Sale,2024-05-23,2024-07-02,Mannan Complex,Golden Nest,Mira Bhayandar,401107,Office Space,,1939,26600000.0,,25849204.0,Radhika Deol
RENT-SHOP-2036,Rented,Rent,2022-12-18,2023-01-26,Nori Residency,Bhayandar East,Mira Bhayandar,401101,Shop,,734,,164000.0,164000.0,Bhanumati Manne
RENT-SHOP-2037,Rented,Rent,2021-07-04,2021-09-04,Sur Heights,Mira Road East,Mira Bhayandar,401107,Shop,,1614,,183000.0,183000.0,Liam Raju
SALE-SHOP-2038,Sold,Sale,2020-07-28,2020-09-29,Kant Residency,Shanti Nagar,Mira Bhayandar,401105,Shop,,2046,9700000.0,,9527254.0,Matthew Brahmbhatt
SALE-APAR-2039,Sold,Sale,2024-01-14,2024-04-12,Acharya Plaza,Shanti Nagar,Mira Bhayandar,401101,Apartment,1.0,420,5200000.0,,5164512.0,Abha Wason
SALE-APAR-2040,Sold,Sale,2025-01-13,2025-03-12,Issac Residency,Kanakia,Mira Bhayandar,401107,Apartment,1.0,412,5300000.0,,5232775.0,Nakul Bajaj
RENT-SHOP-2041,Rented,Rent,2022-01-08,2022-01-31,Kurian Complex,Bhayandar East,Mira Bhayandar,401101,Shop,,558,,76000.0,76000.0,Ubika Palla
RENT-OFFI-2042,Rented,Rent,2021-08-03,2021-09-10,Sule Towers,Beverly Park,Mira Bhayandar,401107,Office Space,,1212,,119000.0,119000.0,Girik Jayaraman
SALE-APAR-2043,Sold,Sale,2023-12-24,2024-02-25,Datta Park,Kanakia,Mira Bhayandar,401101,Apartment,1.0,474,7100000.0,,6756222.0,Vivaan Seshadri
RENT-OFFI-2044,Rented,Rent,2020-10-17,2020-12-03,Naik Complex,Golden Nest,Mira Bhayandar,401101,Office Space,,210,,62000.0,62000.0,Azad Nanda
RENT-SHOP-2045,Rented,Rent,2021-01-14,2021-04-11,Kala Towers,Bhayandar West,Mira Bhayandar,401101,Shop,,1235,,72000.0,72000.0,Triveni Chanda
SALE-SHOP-2046,Sold,Sale,2021-02-07,2021-03-11,Wable Park,Bhayandar West,Mira Bhayandar,401107,Shop,,349,9300000.0,,9042513.0,Qushi Swaminathan
RENT-SHOP-2047,Rented,Rent,2021-11-07,2022-02-02,Sarraf Heights,Golden Nest,Mira Bhayandar,401105,Shop,,1664,,195000.0,195000.0,Libni Sunder
SALE-APAR-2048,Sold,Sale,2021-03-06,2021-04-14,Sridhar Towers,Bhayandar West,Mira Bhayandar,401105,Apartment,3.0,1256,15600000.0,,15077885.0,Warinder Sridhar
RENT-SHOP-2049,Rented,Rent,2025-01-29,2025-04-20,Solanki Towers,Shanti Nagar,Mira Bhayandar,401101,Shop,,787,,57000.0,57000.0,Jeevika Dhawan
SALE-OFFI-2050,Sold,Sale,2024-10-01,2024-11-20,Bumb Towers,Mira Road East,Mira Bhayandar,401101,Office Space,,2318,33000000.0,,32022962.0,Nidhi Keer
SALE-APAR-2051,Sold,Sale,2025-05-28,2025-06-24,Gopal Park,Kanakia,Mira Bhayandar,401105,Apartment,3.0,1733,15700000.0,,15175546.0,Chatresh Sen
RENT-SHOP-2052,Rented,Rent,2022-10-29,2022-12-29,Bal Plaza,Golden Nest,Mira Bhayandar,401101,Shop,,2380,,130000.0,130000.0,Quincy Sharma
RENT-APAR-2053,Rented,Rent,2024-07-20,2024-09-17,Samra Heights,Bhayandar East,Mira Bhayandar,401105,Apartment,1.0,514,,19000.0,19000.0,Tanish Shankar
SALE-SHOP-2054,Sold,Sale,2024-01-11,2024-04-07,Gour Residency,Bhayandar East,Mira Bhayandar,401105,Shop,,1352,9100000.0,,8705453.0,Chandani Mukherjee
RENT-SHOP-2055,Rented,Rent,2023-07-07,2023-08-03,Sekhon Park,Kanakia,Mira Bhayandar,401107,Shop,,753,,87000.0,87000.0,Gunbir Dash
RENT-OFFI-2056,Rented,Rent,2022-11-08,2022-11-28,Shan Plaza,Mira Road East,Mira Bhayandar,401105,Office Space,,1058,,92000.0,92000.0,Gabriel Devan
SALE-SHOP-2057,Sold,Sale,2025-04-02,2025-06-20,Bhatt Park,Mira Road East,Mira Bhayandar,401101,Shop,,2284,36900000.0,,36139854.0,Chakradev Ratta
SALE-APAR-2058,Sold,Sale,2020-11-06,2020-12-26,Jayaraman Complex,Bhayandar East,Mira Bhayandar,401105,Apartment,2.0,991,11400000.0,,11130662.0,Yashodhara Tailor
SALE-OFFI-2059,Sold,Sale,2024-02-20,2024-03-15,Goyal Towers,Golden Nest,Mira Bhayandar,401105,Office Space,,1190,21700000.0,,20942056.0,Rachana Magar
SALE-SHOP-2060,Sold,Sale,2024-04-26,2024-07-11,Dhingra Heights,Beverly Park,Mira Bhayandar,401107,Shop,,704,23200000.0,,22150592.0,Pranav Barad
SALE-APAR-2061,Sold,Sale,2024-04-11,2024-05-18,Bhatnagar Park,Kanakia,Mira Bhayandar,401107,Apartment,3.0,1590,23000000.0,,22446208.0,Aashi Muni
RENT-APAR-2062,Rented,Rent,2020-08-31,2020-11-06,Gole Towers,Bhayandar East,Mira Bhayandar,401107,Apartment,2.0,1039,,32000.0,32000.0,Prisha Dugar
SALE-OFFI-2063,Sold,Sale,2024-07-28,2024-08-26,Bhatt Towers,Bhayandar West,Mira Bhayandar,401101,Office Space,,1120,24500000.0,,23472101.0,Maanav Borah
RENT-OFFI-2064,Rented,Rent,2021-03-14,2021-04-26,Kurian Plaza,Golden Nest,Mira Bhayandar,401107,Office Space,,680,,85000.0,85000.0,Reva Joshi
SALE-SHOP-2065,Sold,Sale,2022-06-26,2022-08-09,Prashad Park,Bhayandar West,Mira Bhayandar,401101,Shop,,2146,16500000.0,,16248652.0,Niharika Borde
RENT-OFFI-2066,Rented,Rent,2023-04-16,2023-06-25,Saini Towers,Golden Nest,Mira Bhayandar,401101,Office Space,,1478,,190000.0,190000.0,Chasmum Soni
RENT-OFFI-2067,Rented,Rent,2021-04-07,2021-06-16,Yohannan Heights,Bhayandar West,Mira Bhayandar,401101,Office Space,,1835,,190000.0,190000.0,Ayushman Banik
SALE-OFFI-2068,Sold,Sale,2024-03-06,2024-05-22,Nayak Complex,Kanakia,Mira Bhayandar,401105,Office Space,,1683,16100000.0,,16077920.0,Krishna Dugar
SALE-APAR-2069,Sold,Sale,2020-08-04,2020-08-26,Kant Plaza,Shanti Nagar,Mira Bhayandar,401101,Apartment,1.0,528,5600000.0,,5412015.0,Tanmayi Murthy
RENT-SHOP-2070,Rented,Rent,2024-08-02,2024-10-04,Yogi Plaza,Bhayandar West,Mira Bhayandar,401107,Shop,,764,,111000.0,111000.0,Avi Narang
SALE-SHOP-2071,Sold,Sale,2023-04-11,2023-06-16,Butala Park,Bhayandar West,Mira Bhayandar,401107,Shop,,648,36900000.0,,35245685.0,Laban Naidu
RENT-OFFI-2072,Rented,Rent,2023-02-15,2023-05-07,Ganesh Residency,Bhayandar West,Mira Bhayandar,401107,Office Space,,919,,72000.0,72000.0,Samar Venkatesh
SALE-APAR-2073,Sold,Sale,2025-07-08,2025-09-29,Dhingra Complex,Bhayandar East,Mira Bhayandar,401107,Apartment,3.0,1371,22000000.0,,21112078.0,Jatin Natt
SALE-OFFI-2074,Sold,Sale,2022-09-08,2022-11-07,Handa Heights,Beverly Park,Mira Bhayandar,401101,Office Space,,903,15000000.0,,14646360.0,Logan Madan
RENT-SHOP-2075,Rented,Rent,2022-06-03,2022-07-14,Narain Plaza,Bhayandar West,Mira Bhayandar,401107,Shop,,1666,,146000.0,146000.0,Ubika Chand
RENT-SHOP-2076,Rented,Rent,2021-01-19,2021-02-12,Pant Towers,Beverly Park,Mira Bhayandar,401105,Shop,,1082,,108000.0,108000.0,Radhika Rama
SALE-SHOP-2077,Sold,Sale,2024-05-28,2024-06-18,Sahota Plaza,Beverly Park,Mira Bhayandar,401105,Shop,,627,18800000.0,,18005905.0,Warjas Lalla
SALE-APAR-2078,Sold,Sale,2023-04-28,2023-07-07,Dora Complex,Golden Nest,Mira Bhayandar,401107,Apartment,1.0,489,8000000.0,,7839740.0,Aarush Tara
SALE-OFFI-2079,Sold,Sale,2024-08-22,2024-11-17,Merchant Complex,Golden Nest,Mira Bhayandar,401107,Office Space,,673,33800000.0,,33591243.0,Deepa Pillay
RENT-APAR-2080,Rented,Rent,2024-02-05,2024-03-12,Zacharia Plaza,Beverly Park,Mira Bhayandar,401107,Apartment,2.0,727,,36000.0,36000.0,Varsha Bajwa
RENT-APAR-2081,Rented,Rent,2023-10-16,2023-11-28,Korpal Towers,Beverly Park,Mira Bhayandar,401105,Apartment,2.0,828,,38000.0,38000.0,Timothy Krishna
SALE-SHOP-2082,Sold,Sale,2024-06-22,2024-08-18,Patla Complex,Mira Road East,Mira Bhayandar,401107,Shop,,2045,21400000.0,,21250098.0,Widisha Loyal
RENT-APAR-2083,Rented,Rent,2022-11-16,2023-02-11,Basu Plaza,Shanti Nagar,Mira Bhayandar,401105,Apartment,2.0,997,,30000.0,30000.0,Joshua Khatri
RENT-SHOP-2084,Rented,Rent,2023-10-06,2023-12-19,Dhar Towers,Golden Nest,Mira Bhayandar,401101,Shop,,453,,189000.0,189000.0,Meera Dugal
SALE-SHOP-2085,Sold,Sale,2023-11-07,2024-01-20,Vora Towers,Bhayandar West,Mira Bhayandar,401101,Shop,,777,27600000.0,,26810382.0,Jatin Sarraf
RENT-SHOP-2086,Rented,Rent,2021-01-03,2021-02-03,Jha Towers,Shanti Nagar,Mira Bhayandar,401101,Shop,,295,,56000.0,56000.0,Ria Rau
RENT-OFFI-2087,Rented,Rent,2021-01-30,2021-04-05,Tak Complex,Bhayandar East,Mira Bhayandar,401107,Office Space,,1799,,179000.0,179000.0,Meera Palan
RENT-OFFI-2088,Rented,Rent,2023-11-20,2024-01-16,Ratta Complex,Bhayandar East,Mira Bhayandar,401105,Office Space,,389,,68000.0,68000.0,Gaurang Banik
RENT-APAR-2089,Rented,Rent,2022-01-24,2022-04-18,Handa Residency,Beverly Park,Mira Bhayandar,401105,Apartment,2.0,733,,35000.0,35000.0,Indrajit Handa
SALE-APAR-2090,Sold,Sale,2021-08-08,2021-09-20,Lalla Park,Mira Road East,Mira Bhayandar,401107,Apartment,3.0,1634,15400000.0,,14964216.0,Tanmayi Kalita
SALE-APAR-2091,Sold,Sale,2022-08-07,2022-09-08,Buch Residency,Bhayandar West,Mira Bhayandar,401101,Apartment,3.0,1707,20300000.0,,19507957.0,Isha Ganesan
SALE-APAR-2092,Sold,Sale,2022-09-19,2022-11-02,Lalla Complex,Bhayandar East,Mira Bhayandar,401101,Apartment,2.0,935,9700000.0,,9319095.0,Pushti Anne
RENT-APAR-2093,Rented,Rent,2025-02-15,2025-05-07,Sharaf Residency,Beverly Park,Mira Bhayandar,401107,Apartment,2.0,966,,34000.0,34000.0,Hemani Kulkarni
RENT-OFFI-2094,Rented,Rent,2021-11-28,2022-02-23,Kanda Towers,Mira Road East,Mira Bhayandar,401101,Office Space,,1208,,59000.0,59000.0,Manbir Kumar
SALE-SHOP-2095,Sold,Sale,2021-03-14,2021-04-29,Andra Complex,Golden Nest,Mira Bhayandar,401107,Shop,,2232,27500000.0,,26678315.0,Manthan Raja
SALE-SHOP-2096,Sold,Sale,2021-03-24,2021-05-24,Brar Towers,Shanti Nagar,Mira Bhayandar,401101,Shop,,2194,10200000.0,,9795811.0,Chaman Sibal
RENT-APAR-2097,Rented,Rent,2022-03-30,2022-05-12,Gandhi Towers,Kanakia,Mira Bhayandar,401101,Apartment,3.0,1642,,58000.0,58000.0,George Rattan
SALE-APAR-2098,Sold,Sale,2023-04-10,2023-05-02,Iyengar Towers,Kanakia,Mira Bhayandar,401107,Apartment,3.0,1465,21100000.0,,20067966.0,Yashvi Kale
SALE-SHOP-2099,Sold,Sale,2023-09-27,2023-12-18,Shetty Residency,Kanakia,Mira Bhayandar,401105,Shop,,2334,23600000.0,,22842107.0,Jack Menon
RENT-SHOP-2100,Rented,Rent,2023-08-12,2023-10-17,Mann Park,Mira Road East,Mira Bhayandar,401105,Shop,,1254,,113000.0,113000.0,Ekavir Rama
SALE-OFFI-2101,Sold,Sale,2023-03-07,2023-04-26,Mitra Towers,Mira Road East,Mira Bhayandar,401107,Office Space,,463,35700000.0,,34563829.0,Lekha Bhardwaj
RENT-OFFI-2102,Rented,Rent,2023-02-15,2023-04-03,Kala Plaza,Bhayandar West,Mira Bhayandar,401107,Office Space,,1159,,190000.0,190000.0,Laban Agarwal
RENT-APAR-2103,Rented,Rent,2021-06-17,2021-08-22,Dube Plaza,Bhayandar East,Mira Bhayandar,401101,Apartment,2.0,695,,31000.0,31000.0,Ishwar Bera
SALE-APAR-2104,Sold,Sale,2020-08-27,2020-10-16,Chawla Park,Bhayandar West,Mira Bhayandar,401105,Apartment,3.0,1618,24500000.0,,24042657.0,Baghyawati Rastogi
SALE-APAR-2105,Sold,Sale,2023-08-30,2023-09-22,Dube Complex,Bhayandar West,Mira Bhayandar,401105,Apartment,3.0,1647,20100000.0,,19709984.0,Kavya Mohan
RENT-OFFI-2106,Rented,Rent,2025-05-02,2025-07-31,Narula Complex,Bhayandar East,Mira Bhayandar,401107,Office Space,,829,,101000.0,101000.0,William Sharma
SALE-SHOP-2107,Sold,Sale,2024-06-18,2024-08-28,Shankar Complex,Mira Road East,Mira Bhayandar,401107,Shop,,897,27300000.0,,26438671.0,Zaitra Vasa
SALE-SHOP-2108,Sold,Sale,2023-01-20,2023-04-04,Halder Towers,Shanti Nagar,Mira Bhayandar,401105,Shop,,1195,10000000.0,,9791798.0,Yuvraj Sastry
RENT-SHOP-2109,Rented,Rent,2022-11-22,2022-12-22,Saha Plaza,Kanakia,Mira Bhayandar,401105,Shop,,536,,130000.0,130000.0,Upkaar Bhat
RENT-APAR-2110,Rented,Rent,2024-07-19,2024-08-14,Khanna Park,Shanti Nagar,Mira Bhayandar,401105,Apartment,3.0,1606,,53000.0,53000.0,Finn Chahal
RENT-SHOP-2111,Rented,Rent,2021-04-04,2021-05-11,Borah Towers,Beverly Park,Mira Bhayandar,401107,Shop,,2408,,58000.0,58000.0,Megha Parikh
RENT-OFFI-2112,Rented,Rent,2021-01-18,2021-03-17,Kalita Plaza,Golden Nest,Mira Bhayandar,401107,Office Space,,1407,,164000.0,164000.0,Niharika Balakrishnan
RENT-APAR-2113,Rented,Rent,2024-04-11,2024-06-21,Morar Plaza,Beverly Park,Mira Bhayandar,401101,Apartment,2.0,822,,39000.0,39000.0,Matthew Saha
SALE-APAR-2114,Sold,Sale,2020-12-27,2021-03-26,Sant Park,Shanti Nagar,Mira Bhayandar,401107,Apartment,3.0,1210,22600000.0,,22466815.0,Eesha Kapadia
SALE-APAR-2115,Sold,Sale,2021-08-08,2021-09-15,Lata Towers,Shanti Nagar,Mira Bhayandar,401105,Apartment,1.0,657,8000000.0,,7993720.0,Tamanna Vyas
RENT-SHOP-2116,Rented,Rent,2023-06-11,2023-07-29,Gara Residency,Bhayandar West,Mira Bhayandar,401107,Shop,,2352,,186000.0,186000.0,Daksh Raval
SALE-SHOP-2117,Sold,Sale,2023-11-16,2024-02-01,Kari Towers,Mira Road East,Mira Bhayandar,401101,Shop,,667,21700000.0,,21420979.0,Vamakshi Kumer
SALE-SHOP-2118,Sold,Sale,2021-02-15,2021-03-22,Sandal Towers,Shanti Nagar,Mira Bhayandar,401107,Shop,,868,30900000.0,,30592161.0,Xavier Parekh
RENT-OFFI-2119,Rented,Rent,2021-04-09,2021-06-09,Subramaniam Park,Bhayandar East,Mira Bhayandar,401107,Office Space,,1615,,68000.0,68000.0,Rehaan Kadakia
RENT-OFFI-2120,Rented,Rent,2024-12-20,2025-01-16,Chokshi Plaza,Beverly Park,Mira Bhayandar,401105,Office Space,,1113,,70000.0,70000.0,Harita Tiwari
SALE-APAR-2121,Sold,Sale,2021-03-30,2021-06-28,Mani Plaza,Golden Nest,Mira Bhayandar,401107,Apartment,2.0,783,9200000.0,,9140341.0,Vidhi Sinha
RENT-SHOP-2122,Rented,Rent,2024-08-17,2024-09-30,Parikh Heights,Beverly Park,Mira Bhayandar,401107,Shop,,1923,,72000.0,72000.0,Victor Talwar
RENT-OFFI-2123,Rented,Rent,2023-09-05,2023-11-15,Nayar Plaza,Golden Nest,Mira Bhayandar,401101,Office Space,,2168,,141000.0,141000.0,Anjali Radhakrishnan
SALE-SHOP-2124,Sold,Sale,2023-12-08,2024-02-10,Soman Plaza,Kanakia,Mira Bhayandar,401101,Shop,,528,26700000.0,,25521451.0,Pratyush Luthra
RENT-SHOP-2125,Rented,Rent,2021-02-01,2021-03-24,Konda Heights,Golden Nest,Mira Bhayandar,401101,Shop,,822,,67000.0,67000.0,Nitesh Dhingra
SALE-SHOP-2126,Sold,Sale,2023-06-14,2023-07-17,Mann Plaza,Shanti Nagar,Mira Bhayandar,401105,Shop,,578,30100000.0,,29720315.0,Lila Suri
SALE-OFFI-2127,Sold,Sale,2022-09-06,2022-11-18,Amble Residency,Bhayandar West,Mira Bhayandar,401105,Office Space,,2185,9200000.0,,9106632.0,Sai Soman
RENT-OFFI-2128,Rented,Rent,2023-10-08,2023-12-06,Saraf Park,Golden Nest,Mira Bhayandar,401101,Office Space,,1519,,136000.0,136000.0,Sneha Desai
RENT-OFFI-2129,Rented,Rent,2021-04-16,2021-07-11,Nagar Plaza,Golden Nest,Mira Bhayandar,401105,Office Space,,2402,,122000.0,122000.0,Jeremiah Varma
RENT-APAR-2130,Rented,Rent,2021-04-01,2021-06-24,Ratti Park,Bhayandar West,Mira Bhayandar,401107,Apartment,3.0,1376,,51000.0,51000.0,Elijah Kapoor
SALE-SHOP-2131,Sold,Sale,2023-07-03,2023-07-31,Balasubramanian Towers,Bhayandar West,Mira Bhayandar,401107,Shop,,2440,17900000.0,,17866057.0,Widisha Barad
RENT-APAR-2132,Rented,Rent,2024-12-14,2025-01-29,Shere Residency,Bhayandar West,Mira Bhayandar,401105,Apartment,2.0,1032,,25000.0,25000.0,Ekiya Yadav
RENT-APAR-2133,Rented,Rent,2022-07-18,2022-10-04,Krishnan Plaza,Mira Road East,Mira Bhayandar,401105,Apartment,2.0,876,,25000.0,25000.0,Madhavi Bandi
RENT-SHOP-2134,Rented,Rent,2023-05-03,2023-06-29,Sehgal Residency,Golden Nest,Mira Bhayandar,401101,Shop,,772,,130000.0,130000.0,Samuel Vasa
SALE-SHOP-2135,Sold,Sale,2025-01-15,2025-03-15,Dara Residency,Golden Nest,Mira Bhayandar,401105,Shop,,1571,12500000.0,,12373564.0,Logan Kata
RENT-APAR-2136,Rented,Rent,2022-03-10,2022-04-26,Kamdar Residency,Shanti Nagar,Mira Bhayandar,401107,Apartment,3.0,1266,,56000.0,56000.0,Warhi Dora
RENT-APAR-2137,Rented,Rent,2021-11-24,2022-01-01,Barman Residency,Mira Road East,Mira Bhayandar,401101,Apartment,3.0,1579,,57000.0,57000.0,Ridhi Baria
RENT-SHOP-2138,Rented,Rent,2022-12-03,2023-02-18,Ray Towers,Shanti Nagar,Mira Bhayandar,401105,Shop,,1783,,175000.0,175000.0,Varsha Narayanan
RENT-SHOP-2139,Rented,Rent,2020-12-18,2021-02-09,Kohli Residency,Bhayandar East,Mira Bhayandar,401101,Shop,,697,,83000.0,83000.0,Vamakshi Patla
SALE-SHOP-2140,Sold,Sale,2022-11-07,2023-01-15,Cherian Heights,Shanti Nagar,Mira Bhayandar,401105,Shop,,1534,13300000.0,,13088325.0,Kai Lad
SALE-APAR-2141,Sold,Sale,2025-07-08,2025-09-06,Behl Complex,Bhayandar East,Mira Bhayandar,401105,Apartment,2.0,1048,13800000.0,,13201421.0,Alexander Apte
SALE-SHOP-2142,Sold,Sale,2022-07-03,2022-08-09,Mittal Heights,Shanti Nagar,Mira Bhayandar,401105,Shop,,1657,7200000.0,,7052091.0,Mitesh Khosla
RENT-APAR-2143,Rented,Rent,2022-06-11,2022-08-30,Mitter Park,Bhayandar East,Mira Bhayandar,401107,Apartment,1.0,517,,24000.0,24000.0,Aarna Shanker
RENT-APAR-2144,Rented,Rent,2024-06-26,2024-09-20,Saxena Park,Beverly Park,Mira Bhayandar,401101,Apartment,2.0,695,,39000.0,39000.0,Aayush Bassi
SALE-APAR-2145,Sold,Sale,2025-04-03,2025-06-24,Lata Plaza,Mira Road East,Mira Bhayandar,401101,Apartment,1.0,520,6700000.0,,6468233.0,Rachana Hayer
SALE-OFFI-2146,Sold,Sale,2021-10-07,2021-12-05,Kaul Complex,Beverly Park,Mira Bhayandar,401101,Office Space,,1442,18800000.0,,17916655.0,Wahab Narain
SALE-APAR-2147,Sold,Sale,2022-10-03,2022-10-24,Sahni Residency,Beverly Park,Mira Bhayandar,401105,Apartment,3.0,1429,20900000.0,,19885593.0,Vritti Barad
RENT-OFFI-2148,Rented,Rent,2024-01-12,2024-03-29,Gera Complex,Golden Nest,Mira Bhayandar,401107,Office Space,,2209,,108000.0,108000.0,Vamakshi Bhandari
RENT-OFFI-2149,Rented,Rent,2021-10-06,2021-11-28,Tak Heights,Shanti Nagar,Mira Bhayandar,401101,Office Space,,2126,,156000.0,156000.0,Gavin Patla
