client_id,client_name,property_id,similarity_score,bhk_match,location_match,price_match,listing_type,furnishing_match
CL-1005,Neha Ahuja,SALE-APAR-995,80.0,2.0,bhayandar west,12000000.0,Sale,Semi-Furnished
CL-1005,Neha Ahuja,SALE-APAR-844,75.0,2.0,bhayandar west,10200000.0,Sale,Semi-Furnished
CL-1005,Neha Ahuja,SALE-APAR-180,70.0,1.0,mira road east,5600000.0,Sale,Semi-Furnished
CL-1005,Neha Ahuja,SALE-APAR-465,70.0,2.0,jesal park,10800000.0,Sale,Semi-Furnished
CL-1005,Neha Ahuja,SALE-APAR-490,70.0,1.0,mira road east,6600000.0,Sale,Unfurnished
CL-1005,Neha Ahuja,SALE-APAR-543,70.0,2.0,golden nest,11100000.0,Sale,Fully Furnished
CL-1005,Neha Ahuja,SALE-APAR-770,70.0,1.0,mira road east,6300000.0,Sale,Unfurnished
CL-1006,Ikshita Dalal,RENT-APAR-341,95.0,2.0,beverly park,26000.0,Rent,Unfurnished
CL-1006,Ikshita Dalal,RENT-APAR-575,95.0,2.0,shivar garden,28000.0,Rent,Unfurnished
CL-1006,Ikshita Dalal,RENT-APAR-730,95.0,2.0,golden nest,28000.0,Rent,Unfurnished
CL-1006,Ikshita Dalal,RENT-APAR-444,90.0,2.0,bhayandar east,30000.0,Rent,Unfurnished
CL-1006,Ikshita Dalal,RENT-APAR-532,90.0,2.0,jesal park,31000.0,Rent,Unfurnished
CL-1006,Ikshita Dalal,RENT-APAR-703,85.0,2.0,jesal park,32000.0,Rent,Unfurnished
CL-1006,Ikshita Dalal,RENT-APAR-706,85.0,2.0,bhayandar east,25000.0,Rent,Semi-Furnished
CL-1006,Ikshita Dalal,RENT-APAR-629,80.0,2.0,bhayandar east,28000.0,Rent,Semi-Furnished
CL-1006,Ikshita Dalal,RENT-APAR-1023,80.0,2.0,bhayandar east,25000.0,Rent,Fully Furnished
CL-1006,Ikshita Dalal,RENT-APAR-205,75.0,1.0,shanti nagar,23000.0,Rent,Unfurnished
CL-1007,Yagnesh Sarraf,SALE-APAR-844,85.0,2.0,bhayandar west,10200000.0,Sale,Semi-Furnished
CL-1007,Yagnesh Sarraf,SALE-APAR-460,80.0,2.0,mira road east,10200000.0,Sale,Unfurnished
CL-1007,Yagnesh Sarraf,SALE-APAR-526,80.0,2.0,bhayandar east,11000000.0,Sale,Fully Furnished
CL-1007,Yagnesh Sarraf,SALE-APAR-517,75.0,2.0,mira road east,8500000.0,Sale,Semi-Furnished
CL-1007,Yagnesh Sarraf,SALE-APAR-110,70.0,2.0,beverly park,9800000.0,Sale,Semi-Furnished
CL-1007,Yagnesh Sarraf,SALE-APAR-121,70.0,2.0,shivar garden,9300000.0,Sale,Fully Furnished
CL-1007,Yagnesh Sarraf,SALE-APAR-465,70.0,2.0,jesal park,10800000.0,Sale,Semi-Furnished
CL-1007,Yagnesh Sarraf,SALE-APAR-543,70.0,2.0,golden nest,11100000.0,Sale,Fully Furnished
CL-1007,Yagnesh Sarraf,SALE-APAR-622,70.0,2.0,shivar garden,9500000.0,Sale,Unfurnished
CL-1007,Yagnesh Sarraf,SALE-APAR-633,70.0,1.0,bhayandar west,5900000.0,Sale,Semi-Furnished
CL-1008,Rohan Barman,RENT-APAR-1023,90.0,2.0,bhayandar east,25000.0,Rent,Fully Furnished
CL-1008,Rohan Barman,RENT-APAR-706,85.0,2.0,bhayandar east,25000.0,Rent,Semi-Furnished
CL-1008,Rohan Barman,RENT-APAR-883,80.0,2.0,mira road east,37000.0,Rent,Fully Furnished
CL-1008,Rohan Barman,RENT-APAR-444,75.0,2.0,bhayandar east,30000.0,Rent,Unfurnished
CL-1008,Rohan Barman,RENT-APAR-494,75.0,2.0,mira road east,37000.0,Rent,Fully Furnished
CL-1008,Rohan Barman,RENT-APAR-629,75.0,2.0,bhayandar east,28000.0,Rent,Semi-Furnished
CL-1008,Rohan Barman,RENT-APAR-250,70.0,2.0,shanti nagar,35000.0,Rent,Fully Furnished
CL-1008,Rohan Barman,RENT-APAR-295,70.0,2.0,shivar garden,36000.0,Rent,Fully Furnished
CL-1008,Rohan Barman,RENT-APAR-391,70.0,2.0,golden nest,37000.0,Rent,Fully Furnished
CL-1008,Rohan Barman,RENT-APAR-955,70.0,2.0,bhayandar west,35000.0,Rent,Unfurnished
CL-1009,Abeer Buch,RENT-APAR-877,100.0,3.0,mira road east,43000.0,Rent,Semi-Furnished
CL-1009,Abeer Buch,RENT-APAR-297,97.0,3.0,bhayandar east,48000.0,Rent,Fully Furnished
CL-1009,Abeer Buch,RENT-APAR-102,95.0,3.0,shivar garden,45000.0,Rent,Semi-Furnished
CL-1009,Abeer Buch,RENT-APAR-446,95.0,3.0,beverly park,41000.0,Rent,Semi-Furnished
CL-1009,Abeer Buch,RENT-APAR-914,95.0,3.0,kanakia,41000.0,Rent,Semi-Furnished
CL-1009,Abeer Buch,RENT-APAR-1020,95.0,3.0,shivar garden,52000.0,Rent,Semi-Furnished
CL-1009,Abeer Buch,RENT-APAR-1051,95.0,3.0,beverly park,50000.0,Rent,Semi-Furnished
CL-1009,Abeer Buch,RENT-APAR-223,90.0,4.0,bhayandar east,43000.0,Rent,Semi-Furnished
CL-1009,Abeer Buch,RENT-APAR-262,90.0,3.0,naya nagar,49000.0,Rent,Semi-Furnished
CL-1009,Abeer Buch,RENT-APAR-831,90.0,3.0,mira road east,45000.0,Rent,Semi-Furnished
CL-1010,Neha Sridhar,RENT-APAR-791,90.0,1.0,bhayandar east,19000.0,Rent,Semi-Furnished
CL-1010,Neha Sridhar,RENT-APAR-1094,85.0,1.0,bhayandar west,18000.0,Rent,Semi-Furnished
CL-1010,Neha Sridhar,RENT-APAR-201,80.0,1.0,bhayandar west,15000.0,Rent,Semi-Furnished
CL-1010,Neha Sridhar,RENT-APAR-421,80.0,1.0,bhayandar east,15000.0,Rent,Unfurnished
CL-1010,Neha Sridhar,RENT-APAR-911,80.0,1.0,bhayandar east,22000.0,Rent,Unfurnished
CL-1010,Neha Sridhar,RENT-APAR-609,77.0,1.0,mira road east,18000.0,Rent,Fully Furnished
CL-1010,Neha Sridhar,RENT-APAR-1006,75.0,1.0,kanakia,17000.0,Rent,Semi-Furnished
CL-1010,Neha Sridhar,RENT-APAR-1074,75.0,1.0,mira road east,19000.0,Rent,Unfurnished
CL-1010,Neha Sridhar,RENT-APAR-403,72.0,1.0,jesal park,15000.0,Rent,Fully Furnished
CL-1010,Neha Sridhar,RENT-APAR-888,72.0,1.0,kanakia,20000.0,Rent,Fully Furnished
CL-1011,Oscar Chander,RENT-APAR-201,85.0,1.0,bhayandar west,15000.0,Rent,Semi-Furnished
CL-1011,Oscar Chander,RENT-APAR-1094,85.0,1.0,bhayandar west,18000.0,Rent,Semi-Furnished
CL-1011,Oscar Chander,RENT-APAR-403,80.0,1.0,jesal park,15000.0,Rent,Fully Furnished
CL-1011,Oscar Chander,RENT-APAR-609,80.0,1.0,mira road east,18000.0,Rent,Fully Furnished
CL-1011,Oscar Chander,RENT-APAR-421,75.0,1.0,bhayandar east,15000.0,Rent,Unfurnished
CL-1011,Oscar Chander,RENT-APAR-908,70.0,1.0,golden nest,18000.0,Rent,Fully Furnished
CL-1011,Oscar Chander,RENT-APAR-1006,70.0,1.0,kanakia,17000.0,Rent,Semi-Furnished
CL-1011,Oscar Chander,RENT-APAR-174,65.0,1.0,naya nagar,15000.0,Rent,Semi-Furnished
CL-1011,Oscar Chander,RENT-APAR-538,65.0,1.0,jesal park,15000.0,Rent,Unfurnished
CL-1011,Oscar Chander,RENT-APAR-767,60.0,1.0,shivar garden,17000.0,Rent,Semi-Furnished
CL-1012,Faris Manda,RENT-APAR-297,80.0,3.0,bhayandar east,48000.0,Rent,Fully Furnished
CL-1012,Faris Manda,RENT-APAR-877,80.0,3.0,mira road east,43000.0,Rent,Semi-Furnished
CL-1012,Faris Manda,RENT-APAR-819,75.0,4.0,bhayandar west,44000.0,Rent,Semi-Furnished
CL-1012,Faris Manda,RENT-APAR-825,75.0,3.0,beverly park,40000.0,Rent,Unfurnished
CL-1012,Faris Manda,RENT-APAR-955,75.0,2.0,bhayandar west,35000.0,Rent,Unfurnished
CL-1012,Faris Manda,RENT-APAR-130,70.0,3.0,naya nagar,46000.0,Rent,Unfurnished
CL-1012,Faris Manda,RENT-APAR-223,70.0,4.0,bhayandar east,43000.0,Rent,Semi-Furnished
CL-1012,Faris Manda,RENT-APAR-446,70.0,3.0,beverly park,41000.0,Rent,Semi-Furnished
CL-1012,Faris Manda,RENT-APAR-831,70.0,3.0,mira road east,45000.0,Rent,Semi-Furnished
CL-1012,Faris Manda,RENT-APAR-914,70.0,3.0,kanakia,41000.0,Rent,Semi-Furnished
CL-1013,Kai Agrawal,SALE-APAR-294,90.0,1.0,bhayandar east,4900000.0,Sale,Unfurnished
CL-1013,Kai Agrawal,SALE-APAR-254,80.0,1.0,bhayandar west,4500000.0,Sale,Semi-Furnished
CL-1013,Kai Agrawal,SALE-APAR-972,80.0,1.0,bhayandar west,4600000.0,Sale,Fully Furnished
CL-1013,Kai Agrawal,SALE-APAR-192,70.0,1.0,shivar garden,4500000.0,Sale,Semi-Furnished
CL-1013,Kai Agrawal,SALE-APAR-290,70.0,1.0,naya nagar,5000000.0,Sale,Semi-Furnished
CL-1013,Kai Agrawal,SALE-APAR-326,70.0,1.0,golden nest,4500000.0,Sale,Fully Furnished
CL-1013,Kai Agrawal,SALE-APAR-638,70.0,1.0,golden nest,5000000.0,Sale,Semi-Furnished
CL-1013,Kai Agrawal,SALE-APAR-692,70.0,1.0,kanakia,4900000.0,Sale,Semi-Furnished
CL-1013,Kai Agrawal,SALE-APAR-708,70.0,1.0,beverly park,5200000.0,Sale,Fully Furnished
CL-1013,Kai Agrawal,SALE-APAR-1009,70.0,1.0,kanakia,5000000.0,Sale,Semi-Furnished
CL-1014,Girik Thaman,SALE-APAR-995,75.0,2.0,bhayandar west,12000000.0,Sale,Semi-Furnished
CL-1014,Girik Thaman,SALE-APAR-1093,75.0,2.0,bhayandar west,14200000.0,Sale,Semi-Furnished
CL-1014,Girik Thaman,SALE-APAR-844,70.0,2.0,bhayandar west,10200000.0,Sale,Semi-Furnished
CL-1014,Girik Thaman,SALE-SHOP-159,65.0,,bhayandar west,13900000.0,Sale,Unfurnished
CL-1014,Girik Thaman,SALE-SHOP-274,65.0,,bhayandar west,12900000.0,Sale,Unfurnished
CL-1014,Girik Thaman,SALE-OFFI-322,65.0,,bhayandar west,13100000.0,Sale,Unfurnished
CL-1014,Girik Thaman,SALE-APAR-460,65.0,2.0,mira road east,10200000.0,Sale,Unfurnished
CL-1014,Girik Thaman,SALE-APAR-526,65.0,2.0,bhayandar east,11000000.0,Sale,Fully Furnished
CL-1014,Girik Thaman,SALE-SHOP-330,60.0,,bhayandar west,10900000.0,Sale,Unfurnished
CL-1014,Girik Thaman,SALE-BUNG-360,60.0,3.0,bhayandar west,25200000.0,Sale,Unfurnished
CL-1015,Bimala Mody,SALE-APAR-180,90.0,1.0,mira road east,5600000.0,Sale,Semi-Furnished
CL-1015,Bimala Mody,SALE-APAR-290,90.0,1.0,naya nagar,5000000.0,Sale,Semi-Furnished
CL-1015,Bimala Mody,SALE-APAR-294,90.0,1.0,bhayandar east,4900000.0,Sale,Unfurnished
CL-1015,Bimala Mody,SALE-APAR-633,90.0,1.0,bhayandar west,5900000.0,Sale,Semi-Furnished
CL-1015,Bimala Mody,SALE-APAR-638,90.0,1.0,golden nest,5000000.0,Sale,Semi-Furnished
CL-1015,Bimala Mody,SALE-APAR-692,90.0,1.0,kanakia,4900000.0,Sale,Semi-Furnished
CL-1015,Bimala Mody,SALE-APAR-708,90.0,1.0,beverly park,5200000.0,Sale,Fully Furnished
CL-1015,Bimala Mody,SALE-APAR-747,90.0,1.0,kanakia,5800000.0,Sale,Fully Furnished
CL-1015,Bimala Mody,SALE-APAR-1009,90.0,1.0,kanakia,5000000.0,Sale,Semi-Furnished
CL-1015,Bimala Mody,SALE-APAR-192,85.0,1.0,shivar garden,4500000.0,Sale,Semi-Furnished
CL-1016,Vanya Saran,SALE-APAR-196,80.0,1.0,bhayandar east,7200000.0,Sale,Unfurnished
CL-1016,Vanya Saran,SALE-APAR-528,80.0,1.0,bhayandar east,6500000.0,Sale,Semi-Furnished
CL-1016,Vanya Saran,SALE-APAR-294,75.0,1.0,bhayandar east,4900000.0,Sale,Unfurnished
CL-1016,Vanya Saran,SALE-APAR-490,70.0,1.0,mira road east,6600000.0,Sale,Unfurnished
CL-1016,Vanya Saran,SALE-APAR-180,65.0,1.0,mira road east,5600000.0,Sale,Semi-Furnished
CL-1016,Vanya Saran,SALE-APAR-633,65.0,1.0,bhayandar west,5900000.0,Sale,Semi-Furnished
CL-1016,Vanya Saran,SALE-APAR-770,65.0,1.0,mira road east,6300000.0,Sale,Unfurnished
CL-1016,Vanya Saran,SALE-APAR-1030,65.0,1.0,bhayandar west,6800000.0,Sale,Unfurnished
CL-1016,Vanya Saran,SALE-APAR-1086,65.0,1.0,bhayandar west,6300000.0,Sale,Semi-Furnished
CL-1016,Vanya Saran,SALE-APAR-120,60.0,1.0,naya nagar,6700000.0,Sale,Fully Furnished
CL-1017,Aarush Manda,RENT-APAR-1074,95.0,1.0,mira road east,19000.0,Rent,Unfurnished
CL-1017,Aarush Manda,RENT-APAR-354,80.0,1.0,bhayandar west,21000.0,Rent,Unfurnished
CL-1017,Aarush Manda,RENT-APAR-421,80.0,1.0,bhayandar east,15000.0,Rent,Unfurnished
CL-1017,Aarush Manda,RENT-APAR-911,80.0,1.0,bhayandar east,22000.0,Rent,Unfurnished
CL-1017,Aarush Manda,RENT-APAR-209,75.0,1.0,naya nagar,19000.0,Rent,Unfurnished
CL-1017,Aarush Manda,RENT-APAR-609,75.0,1.0,mira road east,18000.0,Rent,Fully Furnished
CL-1017,Aarush Manda,RENT-APAR-750,75.0,1.0,shanti nagar,19000.0,Rent,Unfurnished
CL-1017,Aarush Manda,RENT-APAR-201,70.0,1.0,bhayandar west,15000.0,Rent,Semi-Furnished
CL-1017,Aarush Manda,RENT-APAR-205,70.0,1.0,shanti nagar,23000.0,Rent,Unfurnished
CL-1017,Aarush Manda,RENT-APAR-218,70.0,1.0,jesal park,22000.0,Rent,Unfurnished
CL-1018,Turvi Bhatt,SALE-APAR-526,85.0,2.0,bhayandar east,11000000.0,Sale,Fully Furnished
CL-1018,Turvi Bhatt,SALE-APAR-995,80.0,2.0,bhayandar west,12000000.0,Sale,Semi-Furnished
CL-1018,Turvi Bhatt,SALE-APAR-460,75.0,2.0,mira road east,10200000.0,Sale,Unfurnished
CL-1018,Turvi Bhatt,SALE-APAR-517,75.0,2.0,mira road east,8500000.0,Sale,Semi-Furnished
CL-1018,Turvi Bhatt,SALE-APAR-196,70.0,1.0,bhayandar east,7200000.0,Sale,Unfurnished
CL-1018,Turvi Bhatt,SALE-APAR-528,70.0,1.0,bhayandar east,6500000.0,Sale,Semi-Furnished
CL-1018,Turvi Bhatt,SALE-APAR-618,70.0,2.0,beverly park,13900000.0,Sale,Fully Furnished
CL-1018,Turvi Bhatt,SALE-APAR-844,70.0,2.0,bhayandar west,10200000.0,Sale,Semi-Furnished
CL-1018,Turvi Bhatt,SALE-APAR-954,70.0,2.0,shanti nagar,11200000.0,Sale,Semi-Furnished
CL-1018,Turvi Bhatt,SALE-APAR-1084,70.0,2.0,beverly park,14000000.0,Sale,Unfurnished
CL-1019,Gagan Pradhan,RENT-APAR-297,100.0,3.0,bhayandar east,48000.0,Rent,Fully Furnished
CL-1019,Gagan Pradhan,RENT-APAR-424,95.0,3.0,bhayandar east,56000.0,Rent,Fully Furnished
CL-1019,Gagan Pradhan,RENT-APAR-350,80.0,3.0,bhayandar east,51000.0,Rent,Unfurnished
CL-1019,Gagan Pradhan,RENT-APAR-223,75.0,4.0,bhayandar east,43000.0,Rent,Semi-Furnished
CL-1019,Gagan Pradhan,RENT-APAR-705,75.0,3.0,bhayandar west,52000.0,Rent,Unfurnished
CL-1019,Gagan Pradhan,RENT-APAR-877,75.0,3.0,mira road east,43000.0,Rent,Semi-Furnished
CL-1019,Gagan Pradhan,RENT-APAR-881,75.0,3.0,mira road east,51000.0,Rent,Unfurnished
CL-1019,Gagan Pradhan,RENT-APAR-1023,75.0,2.0,bhayandar east,25000.0,Rent,Fully Furnished
CL-1019,Gagan Pradhan,RENT-APAR-419,70.0,3.0,beverly park,55000.0,Rent,Fully Furnished
CL-1019,Gagan Pradhan,RENT-APAR-443,70.0,3.0,kanakia,40000.0,Rent,Fully Furnished
CL-1020,Ojasvi Samra,SALE-APAR-110,90.0,2.0,beverly park,9800000.0,Sale,Semi-Furnished
CL-1020,Ojasvi Samra,SALE-APAR-121,90.0,2.0,shivar garden,9300000.0,Sale,Fully Furnished
CL-1020,Ojasvi Samra,SALE-APAR-185,90.0,2.0,golden nest,9000000.0,Sale,Unfurnished
CL-1020,Ojasvi Samra,SALE-APAR-460,90.0,2.0,mira road east,10200000.0,Sale,Unfurnished
CL-1020,Ojasvi Samra,SALE-APAR-517,90.0,2.0,mira road east,8500000.0,Sale,Semi-Furnished
CL-1020,Ojasvi Samra,SALE-APAR-622,90.0,2.0,shivar garden,9500000.0,Sale,Unfurnished
CL-1020,Ojasvi Samra,SALE-APAR-805,90.0,2.0,beverly park,8900000.0,Sale,Semi-Furnished
CL-1020,Ojasvi Samra,SALE-APAR-1099,90.0,2.0,kanakia,8800000.0,Sale,Semi-Furnished
CL-1020,Ojasvi Samra,SALE-APAR-147,85.0,2.0,jesal park,10400000.0,Sale,Fully Furnished
CL-1020,Ojasvi Samra,SALE-APAR-697,85.0,2.0,jesal park,8100000.0,Sale,Unfurnished
CL-1021,Oliver Thakur,RENT-APAR-1023,80.0,2.0,bhayandar east,25000.0,Rent,Fully Furnished
CL-1021,Oliver Thakur,RENT-APAR-601,75.0,1.0,mira road east,25000.0,Rent,Fully Furnished
CL-1021,Oliver Thakur,RENT-APAR-706,75.0,2.0,bhayandar east,25000.0,Rent,Semi-Furnished
CL-1021,Oliver Thakur,RENT-APAR-444,70.0,2.0,bhayandar east,30000.0,Rent,Unfurnished
CL-1021,Oliver Thakur,RENT-APAR-609,70.0,1.0,mira road east,18000.0,Rent,Fully Furnished
CL-1021,Oliver Thakur,RENT-APAR-629,70.0,2.0,bhayandar east,28000.0,Rent,Semi-Furnished
CL-1021,Oliver Thakur,RENT-APAR-341,65.0,2.0,beverly park,26000.0,Rent,Unfurnished
CL-1021,Oliver Thakur,RENT-APAR-575,65.0,2.0,shivar garden,28000.0,Rent,Unfurnished
CL-1021,Oliver Thakur,RENT-APAR-730,65.0,2.0,golden nest,28000.0,Rent,Unfurnished
CL-1021,Oliver Thakur,RENT-APAR-1074,65.0,1.0,mira road east,19000.0,Rent,Unfurnished
CL-1022,Amrita Iyengar,SALE-APAR-180,90.0,1.0,mira road east,5600000.0,Sale,Semi-Furnished
CL-1022,Amrita Iyengar,SALE-APAR-528,90.0,1.0,bhayandar east,6500000.0,Sale,Semi-Furnished
CL-1022,Amrita Iyengar,SALE-APAR-582,90.0,1.0,kanakia,6300000.0,Sale,Fully Furnished
CL-1022,Amrita Iyengar,SALE-APAR-633,90.0,1.0,bhayandar west,5900000.0,Sale,Semi-Furnished
CL-1022,Amrita Iyengar,SALE-APAR-708,90.0,1.0,beverly park,5200000.0,Sale,Fully Furnished
CL-1022,Amrita Iyengar,SALE-APAR-747,90.0,1.0,kanakia,5800000.0,Sale,Fully Furnished
CL-1022,Amrita Iyengar,SALE-APAR-770,90.0,1.0,mira road east,6300000.0,Sale,Unfurnished
CL-1022,Amrita Iyengar,SALE-APAR-920,90.0,1.0,naya nagar,6200000.0,Sale,Semi-Furnished
CL-1022,Amrita Iyengar,SALE-APAR-1086,90.0,1.0,bhayandar west,6300000.0,Sale,Semi-Furnished
CL-1022,Amrita Iyengar,SALE-APAR-192,85.0,1.0,shivar garden,4500000.0,Sale,Semi-Furnished
CL-1023,Finn Din,RENT-APAR-341,95.0,2.0,beverly park,26000.0,Rent,Unfurnished
CL-1023,Finn Din,RENT-APAR-575,95.0,2.0,shivar garden,28000.0,Rent,Unfurnished
CL-1023,Finn Din,RENT-APAR-730,95.0,2.0,golden nest,28000.0,Rent,Unfurnished
CL-1023,Finn Din,RENT-APAR-706,90.0,2.0,bhayandar east,25000.0,Rent,Semi-Furnished
CL-1023,Finn Din,RENT-APAR-1023,85.0,2.0,bhayandar east,25000.0,Rent,Fully Furnished
CL-1023,Finn Din,RENT-APAR-209,80.0,1.0,naya nagar,19000.0,Rent,Unfurnished
CL-1023,Finn Din,RENT-APAR-247,80.0,1.0,shanti nagar,25000.0,Rent,Unfurnished
CL-1023,Finn Din,RENT-APAR-474,80.0,1.0,bhayandar west,24000.0,Rent,Unfurnished
CL-1023,Finn Din,RENT-APAR-629,80.0,2.0,bhayandar east,28000.0,Rent,Semi-Furnished
CL-1023,Finn Din,RENT-APAR-750,80.0,1.0,shanti nagar,19000.0,Rent,Unfurnished
CL-1024,Matthew Bhandari,SALE-APAR-294,90.0,1.0,bhayandar east,4900000.0,Sale,Unfurnished
CL-1024,Matthew Bhandari,SALE-APAR-180,80.0,1.0,mira road east,5600000.0,Sale,Semi-Furnished
CL-1024,Matthew Bhandari,SALE-APAR-633,80.0,1.0,bhayandar west,5900000.0,Sale,Semi-Furnished
CL-1024,Matthew Bhandari,SALE-APAR-254,75.0,1.0,bhayandar west,4500000.0,Sale,Semi-Furnished
CL-1024,Matthew Bhandari,SALE-APAR-972,75.0,1.0,bhayandar west,4600000.0,Sale,Fully Furnished
CL-1024,Matthew Bhandari,SALE-APAR-290,70.0,1.0,naya nagar,5000000.0,Sale,Semi-Furnished
CL-1024,Matthew Bhandari,SALE-APAR-638,70.0,1.0,golden nest,5000000.0,Sale,Semi-Furnished
CL-1024,Matthew Bhandari,SALE-APAR-692,70.0,1.0,kanakia,4900000.0,Sale,Semi-Furnished
CL-1024,Matthew Bhandari,SALE-APAR-708,70.0,1.0,beverly park,5200000.0,Sale,Fully Furnished
CL-1024,Matthew Bhandari,SALE-APAR-747,70.0,1.0,kanakia,5800000.0,Sale,Fully Furnished
CL-1025,Vincent Walla,SALE-APAR-121,90.0,2.0,shivar garden,9300000.0,Sale,Fully Furnished
CL-1025,Vincent Walla,SALE-APAR-185,90.0,2.0,golden nest,9000000.0,Sale,Unfurnished
CL-1025,Vincent Walla,SALE-APAR-517,90.0,2.0,mira road east,8500000.0,Sale,Semi-Furnished
CL-1025,Vincent Walla,SALE-APAR-622,90.0,2.0,shivar garden,9500000.0,Sale,Unfurnished
CL-1025,Vincent Walla,SALE-APAR-697,90.0,2.0,jesal park,8100000.0,Sale,Unfurnished
CL-1025,Vincent Walla,SALE-APAR-722,90.0,2.0,jesal park,8100000.0,Sale,Semi-Furnished
